L_var_ID	Orthogroup	LVeggA	LVeggB	LVeggC	LV4cA	LV4cB	LV4cC	LV16cA	LV16cB	LV16cC	LV32cA	LV32cB	LV32cC	LVblA	LVblB	LVblC	LVgaA	LVgaB	LVgaC	LVprA	LVprB	LVprC
LVA_10043	OG0006266	1722	1898	1652	8709	4586	9122	5853	6395	6712	5906	8984	7514	3980	2342	4605	7780	5634	7177	5583	3586	4141
LVA_10044	OG0002849	92	32	52	293	213	182	362	568	454	403	75	162	23	55	26	42	37	47	130	109	73
LVA_10045	NA	150	211	647	380	756	398	794	913	461	345	480	312	174	158	62	2546	1316	1356	6206	5589	6323
LVA_10046	OG0006267	291	211	389	2596	2499	2834	2997	3659	1683	1806	5633	3100	383	486	471	783	673	802	602	313	363
LVA_10047	OG0005872	0	0	0	0	1	0	0	0	0	1	2	1	4	3	4	2	2	1	3	5	2
LVA_10048	OG0002399	43	30	151	248	287	316	175	236	335	186	376	386	138	148	126	272	161	188	224	162	118
LVA_10049	OG0003545	69	27	26	60	69	100	140	134	105	93	108	114	170	256	307	325	410	117	94	107	155
LVA_1005	OG0004006	290	190	189	208	294	377	593	626	540	544	834	382	62	37	46	38	34	52	75	50	51
LVA_10050	OG0011991	156	98	36	64	68	107	86	115	76	60	140	82	51	50	102	76	42	56	56	48	50
LVA_10051	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	12	8	0	0
LVA_10052	OG0010403	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	2
LVA_10053	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
LVA_10054	OG0006262	36	90	186	282	281	278	240	273	259	226	789	303	1241	695	1418	1710	1261	1116	633	310	362
LVA_10055	OG0008782	23	18	52	130	181	32	184	240	100	82	124	92	7	14	9	45	40	52	36	47	48
LVA_10057	OG0008783	84	44	54	289	384	154	401	520	347	301	720	396	82	197	83	127	74	204	225	117	174
LVA_10058	OG0004553	147	154	203	374	360	694	298	401	890	646	546	854	112	145	184	280	132	128	100	121	124
LVA_10059	OG0011553	6	44	109	6	12	60	24	42	47	133	37	28	17	20	40	10	7	6	134	51	80
LVA_1006	OG0010463	134	86	186	403	422	449	305	408	310	222	599	361	704	514	468	1286	1078	986	723	464	515
LVA_10060	OG0012261	15	41	78	372	179	238	150	230	342	56	143	215	156	122	206	243	84	124	112	86	104
LVA_10061	OG0008784	33	14	50	344	326	214	382	434	508	309	422	647	1109	943	1059	1571	982	1114	873	530	592
LVA_10062	OG0011863	8	6	5	11	24	21	38	25	22	28	40	47	33	45	49	132	90	86	129	160	154
LVA_10063	OG0003515	11	16	8	12	36	51	48	54	50	53	62	75	59	79	90	257	198	175	265	298	339
LVA_10064	OG0004512	645	295	374	264	375	642	648	690	970	435	708	691	344	395	369	1714	858	1110	1802	1172	1232
LVA_10065	OG0000656	2	2	22	6	8	20	8	14	5	4	19	14	363	477	369	784	446	495	600	463	515
LVA_10067	OG0011861	0	0	0	0	1	1	1	1	0	0	5	3	0	0	0	1	4	0	12	9	13
LVA_10068	NA	68	25	12	310	286	324	2331	3466	924	1113	1705	1879	495	573	474	1156	707	846	787	522	539
LVA_10069	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LVA_10070	NA	0	0	0	0	0	0	1	0	0	0	1	2	6	0	0	2	0	0	42	67	76
LVA_10071	NA	3	20	2	0	2	28	3	1	7	0	4	3	19	68	58	448	267	237	967	1053	1192
LVA_10072	OG0008669	443	516	195	1269	802	557	287	361	267	296	1859	1134	476	297	384	723	497	547	714	467	522
LVA_10073	OG0008670	319	92	221	485	156	390	1304	1947	380	553	791	939	965	1134	732	864	566	498	331	369	338
LVA_10075	NA	1747	1749	4087	6793	6210	6969	8188	9364	5731	6514	8188	10361	1430	1601	1931	2502	1569	2003	1437	1016	1111
LVA_10076	OG0003514	65	66	119	242	393	248	178	170	143	46	409	183	31	46	31	129	46	65	88	67	69
LVA_10077	OG0004512	222	112	152	104	136	267	268	314	444	188	340	294	126	152	146	664	333	416	643	384	398
LVA_10078	OG0003515	11	19	8	12	34	55	44	46	44	65	56	72	59	73	104	289	174	173	275	358	368
LVA_10079	OG0011863	4	4	4	7	18	21	26	27	18	20	32	36	28	34	42	111	73	74	105	126	130
LVA_1008	OG0000272	0	0	0	0	1	0	0	0	0	0	0	0	2	1	124	11	2	1	0	9	8
LVA_10081	OG0017502	3	7	3	6	10	11	18	18	9	17	24	34	18	27	27	67	45	56	79	81	80
LVA_10082	NA	1	0	0	1	1	0	4	4	0	0	1	0	5	3	21	6	2	1	2	2	1
LVA_10084	OG0008784	44	21	72	446	414	251	435	511	723	404	577	820	1348	1160	1301	1956	1310	1310	1046	719	842
LVA_10085	OG0012261	34	74	172	677	318	414	265	354	618	109	222	406	252	209	368	450	142	201	191	163	182
LVA_10086	OG0011553	4	40	206	12	14	52	24	44	76	228	36	22	18	23	30	13	13	12	204	68	108
LVA_10087	OG0004553	138	120	145	334	343	570	357	438	646	483	566	762	118	123	144	295	148	135	118	91	116
LVA_10088	OG0008783	66	52	113	282	578	162	477	530	250	448	710	430	88	204	157	105	98	256	319	146	191
LVA_10090	OG0008782	85	96	260	606	557	175	548	698	329	263	523	327	326	173	311	383	365	422	282	161	210
LVA_10091	OG0006262	58	136	280	457	296	385	257	278	332	283	975	487	1530	817	1790	2230	1290	1402	790	400	423
LVA_10092	OG0017248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10093	OG0010403	0	0	0	4	0	0	0	0	0	0	0	0	0	2	2	2	1	0	0	6	4
LVA_10094	NA	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	20	14	0	0
LVA_10095	OG0011991	192	110	46	96	82	118	118	142	93	80	173	104	76	68	140	92	57	62	78	66	66
LVA_10096	OG0003545	33	14	14	28	30	46	73	68	49	36	56	48	75	118	136	153	193	54	36	45	68
LVA_10098	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10099	OG0003545	42	14	12	36	43	55	72	71	48	56	56	66	88	150	170	178	242	63	54	64	87
LVA_101	OG0015605	6	26	11	7	24	88	12	5	17	5	16	64	1	1	6	5	3	5	13	9	8
LVA_10100	OG0002399	39	36	125	180	308	380	173	244	359	150	334	350	136	156	121	228	156	204	224	158	120
LVA_10103	OG0006267	346	164	425	3164	2548	2389	3596	4687	1955	2243	6126	3563	482	556	505	952	759	806	566	323	337
LVA_10104	NA	78	93	349	222	834	231	768	1066	247	357	282	338	125	153	50	1484	780	1498	6771	6595	5421
LVA_10105	OG0002849	154	54	74	380	356	302	532	853	676	668	120	284	40	84	38	71	56	64	164	186	138
LVA_10106	OG0006266	1604	1710	1452	8345	4631	8151	5841	6337	6874	5956	8265	6828	3924	2272	4119	7252	5302	6416	4869	3618	4085
LVA_10107	OG0008786	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	2
LVA_10108	OG0004555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10109	OG0000245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
LVA_10112	OG0004052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10113	OG0018373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LVA_10114	OG0014544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10116	OG0000245	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	11	5	0	0
LVA_10118	OG0000245	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LVA_1012	OG0000783	0	0	3	1	1	0	2	3	1	0	2	1	29	3	4	4	7	4	4	4	1
LVA_10121	OG0000245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10123	OG0000040	5	4	11	33	28	24	42	41	31	22	52	44	195	195	488	289	238	219	337	367	376
LVA_10128	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	2	3	1	1	2
LVA_10132	OG0000245	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0
LVA_10134	NA	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	5	0	1	1	0	1
LVA_10137	OG0000245	0	2	0	0	0	4	0	4	0	0	0	0	6	2	6	12	5	4	1	0	1
LVA_1014	NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0
LVA_10140	OG0002240	482	107	256	222	274	175	145	142	510	146	198	504	419	464	474	574	252	494	358	263	218
LVA_10141	OG0001585	136	100	414	1796	1558	570	899	874	813	352	2287	1552	126	191	119	209	102	136	242	183	209
LVA_10142	OG0002063	10	10	6	12	2	6	3	2	4	5	8	4	1	0	4	2	0	0	0	0	3
LVA_10143	NA	230	532	401	270	150	696	266	242	136	536	1074	119	68	214	278	43	6	36	4	5	8
LVA_10144	OG0013844	4	5	9	18	10	23	18	25	10	5	10	7	273	253	310	450	277	325	271	196	165
LVA_10146	OG0001762	68	12	16	58	97	29	144	188	80	60	149	130	613	493	606	952	464	654	582	621	356
LVA_10147	OG0011541	2	1	0	0	0	0	1	1	0	0	0	0	2	1	1	0	2	0	0	0	0
LVA_10148	OG0004528	377	1027	744	592	574	530	352	480	235	143	399	336	37	65	44	127	58	78	90	50	69
LVA_10149	OG0004528	297	819	639	511	455	440	307	406	179	121	297	273	33	45	36	100	42	72	69	39	51
LVA_1015	OG0003070	0	1	0	0	0	0	3	2	0	0	3	0	2	2	6	0	0	0	0	0	0
LVA_10150	OG0017803	14	21	18	35	56	79	29	40	38	41	56	53	114	115	124	279	163	178	239	171	187
LVA_10152	OG0016482	0	0	0	0	0	0	5	1	4	1	6	2	0	1	0	0	2	1	0	2	5
LVA_10154	OG0002059	0	0	0	1	0	2	0	2	2	0	5	0	1	4	0	1	0	1	1	6	6
LVA_10158	OG0006220	412	618	791	505	1248	1386	991	1389	1030	468	958	825	427	417	644	1001	649	763	1030	903	822
LVA_10159	OG0006221	330	357	836	1734	500	1904	2072	2835	1391	1857	800	3561	152	183	91	983	688	612	598	488	406
LVA_1016	OG0005397	1	1	0	1	0	2	0	0	1	5	2	0	0	0	3	4	2	1	8	8	12
LVA_10160	OG0006185	27	31	36	63	97	209	70	76	59	37	133	135	108	118	122	215	110	215	338	113	134
LVA_10162	OG0008649	3	1	0	1	0	0	3	2	0	1	0	2	2	0	2	10	5	8	145	225	189
LVA_10163	OG0008650	5558	6677	4410	3698	4167	3680	6394	6808	8259	6947	6482	7472	1251	1549	1209	3247	2356	2115	3087	2269	2006
LVA_10164	OG0014895	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
LVA_10165	OG0006188	333	726	312	750	667	1134	729	884	332	557	486	566	1876	1046	379	2599	1046	1387	1204	1088	850
LVA_10166	OG0006188	174	130	325	1694	1452	760	719	872	642	541	954	542	716	813	322	3526	1142	1174	967	856	744
LVA_10167	OG0006188	70	112	138	542	490	405	307	378	166	182	524	394	338	301	85	1112	402	498	595	363	410
LVA_10168	OG0000618	111	98	85	349	200	248	148	118	259	296	447	302	221	597	569	725	260	418	409	412	324
LVA_10169	OG0000618	38	32	340	157	28	73	106	26	488	80	697	232	177	574	343	697	116	218	248	149	155
LVA_1017	OG0013551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10170	OG0008651	2	2	16	0	0	0	2	2	5	4	2	5	87	74	97	72	114	87	136	127	123
LVA_10171	OG0008652	11	21	15	29	15	55	57	79	103	30	29	40	27	50	118	92	32	46	45	42	41
LVA_10173	OG0011983	36	40	116	702	428	339	248	273	474	316	561	517	645	681	1409	2077	1048	1396	1148	895	762
LVA_10174	OG0011982	10	0	0	3	25	0	1	0	2	1	5	0	4	1	0	3	0	1	24	47	26
LVA_10175	OG0008776	19	32	63	61	102	81	84	46	74	55	84	151	61	46	42	86	80	75	134	108	79
LVA_10178	OG0014934	37	18	44	72	93	74	34	24	6	31	55	50	160	140	115	106	81	92	68	40	56
LVA_10179	OG0014933	6	20	29	104	132	100	98	78	122	127	194	104	2603	2601	2535	1717	1030	962	751	373	331
LVA_1018	OG0005395	28	29	48	76	74	101	186	288	128	174	202	198	34	40	52	50	33	32	32	39	40
LVA_10180	OG0014932	61	54	76	139	210	158	29	40	5	71	134	143	120	92	97	88	88	79	111	60	84
LVA_10181	OG0008775	7848	3931	3242	8254	2720	3443	6226	8739	5345	2295	3424	2891	287	594	746	731	395	673	775	468	547
LVA_10182	OG0000215	7	3	0	3	2	2	0	0	0	0	1	0	0	3	0	0	1	2	3	1	1
LVA_10184	OG0014931	528	414	218	395	506	627	470	471	336	305	702	775	2771	1993	2760	1896	1506	1447	825	480	508
LVA_10185	OG0002865	0	2	0	1	226	0	3	1	21	6	12	1	1	5	8	12	28	15	6	10	0
LVA_10186	OG0016496	0	0	0	0	12	0	0	0	4	0	1	1	0	11	1	0	0	0	0	1	0
LVA_10187	OG0014930	412	420	617	517	565	465	512	646	338	453	722	676	1066	909	1397	2042	1149	1351	1417	1201	1081
LVA_10189	OG0014929	1	5	0	0	0	0	0	0	4	0	0	0	0	0	15	0	2	78	40	2	0
LVA_10190	OG0008774	118	55	21	51	59	44	51	46	44	65	81	30	101	281	239	614	344	387	375	213	177
LVA_10191	OG0011981	1415	848	1848	2035	1942	2288	10258	12275	8728	7391	8050	14303	6258	5788	7396	7083	5350	5950	3684	2874	2798
LVA_10193	OG0022625	6	3	26	32	61	81	2408	2877	2049	1773	1972	3522	1453	1401	1839	1718	1198	1381	846	670	741
LVA_10194	OG0006255	293	1078	1326	2595	2002	2290	2172	2555	1788	2033	2872	4277	1602	1578	2308	2519	1417	1800	1369	917	867
LVA_10195	OG0001314	0	723	0	0	0	2	0	0	0	0	0	1	10	8	7	9	8	6	3	2	5
LVA_10196	OG0001314	0	935	0	0	0	1	1	1	0	0	1	1	7	13	9	8	7	6	3	2	5
LVA_10197	OG0006255	108	363	453	887	712	786	704	805	547	709	959	1300	510	481	761	751	440	558	469	319	293
LVA_10198	OG0011980	77	131	48	736	598	517	703	894	638	871	875	566	809	644	1084	887	576	489	544	528	515
LVA_10199	OG0014927	28	121	73	626	274	537	457	626	258	494	566	64	707	530	615	1226	446	913	1222	488	478
LVA_102	NA	2	5	1	2	7	10	4	0	6	1	6	15	0	0	0	0	0	0	0	1	1
LVA_1020	OG0007571	99	60	38	196	134	204	136	142	315	120	104	396	94	100	103	216	112	136	135	76	88
LVA_10201	OG0000462	0	0	1	1	3	0	0	1	1	1	1	2	2	0	6	3	0	0	0	0	0
LVA_10203	OG0002865	1208	820	362	981	3071	2576	3124	4950	1960	1368	4505	3551	1195	1796	1662	3389	1669	2387	4071	3811	3431
LVA_10204	OG0001143	0	0	0	1	1	0	0	2	1	0	17	1	3	0	4	6	3	10	254	216	182
LVA_10205	OG0014665	282	395	195	130	414	692	846	834	1097	490	1025	1515	1017	665	1274	879	427	508	445	409	408
LVA_10207	OG0008739	885	706	1394	1717	2568	2100	3512	3857	2793	1515	3289	4370	592	726	670	1632	808	1182	1378	797	775
LVA_10208	OG0014917	92	29	47	223	197	73	70	48	173	67	114	191	22	29	16	74	37	33	46	62	74
LVA_10209	OG0000979	52	80	9	21	6	171	52	45	6	23	11	8	126	65	106	122	64	74	83	119	76
LVA_10210	OG0002664	1	0	0	0	3	0	0	0	1	0	114	53	0	0	0	48	30	34	175	284	231
LVA_10211	OG0010692	0	23	4	0	0	1	2	0	2	3	0	1	6	7	1	6	7	7	11	10	9
LVA_10212	NA	16	7	1	10	13	3	1	2	1	2	3	2	2	4	0	8	4	2	5	3	4
LVA_10213	NA	7	1	0	6	4	3	1	2	2	2	2	1	2	3	2	5	5	4	8	2	1
LVA_10214	NA	3	3	0	2	6	6	2	2	2	3	2	0	1	1	3	5	1	2	6	6	3
LVA_10215	NA	4	1	0	3	4	2	1	2	0	2	2	1	2	4	2	6	4	2	8	2	2
LVA_10216	NA	1	1	0	1	2	0	0	0	1	4	2	0	2	2	1	2	0	3	2	4	2
LVA_10218	OG0007476	7	2	4	34	3	17	32	35	24	26	32	14	6	9	10	23	7	11	16	14	14
LVA_10219	OG0009013	250	143	884	1948	1050	562	1100	1151	469	825	1646	1010	162	116	215	572	542	458	470	258	322
LVA_10220	OG0010427	353	243	367	1010	1358	759	3437	3677	3301	2568	2400	3752	2988	2202	3889	4220	2624	2263	2125	1901	2035
LVA_10221	OG0007603	2	2	7	40	28	17	54	85	36	15	27	30	988	1218	1030	1228	973	1043	637	625	450
LVA_10222	NA	4	4	0	0	1	0	2	0	0	1	3	0	28	21	20	84	26	25	270	331	287
LVA_10223	NA	2	0	2	0	0	1	0	0	0	0	0	1	7	6	1	0	2	5	112	147	71
LVA_10224	NA	900	100	735	4	137	64	10	4	2	2	5	4	57	88	4	36	13	43	475	801	404
LVA_10225	NA	1	2	2	0	1	1	0	1	0	1	0	1	0	0	0	2	0	1	10	9	5
LVA_10226	OG0014909	1	3	15	1	0	0	0	4	1	1	2	4	1	0	1	3	4	2	44	32	25
LVA_10228	OG0011908	0	1	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	4	4	0	4
LVA_1023	OG0002648	121	199	218	243	288	1157	628	650	479	381	724	936	611	426	522	886	575	724	654	387	386
LVA_10230	OG0011909	4441	3576	5157	9554	8348	10898	13014	15950	9417	8825	18132	14901	7682	6930	7591	13127	7663	10496	9968	6039	6770
LVA_10231	OG0011516	0	0	0	7	17	3	2	2	4	0	1	2	0	1	0	3	0	0	1	0	2
LVA_10232	OG0003526	7833	9419	9411	12192	21247	18865	15777	17979	12197	9881	20400	17390	13173	9516	14545	8636	6895	5804	5560	4783	4605
LVA_10233	OG0011977	217	387	285	335	305	384	315	398	501	257	667	558	225	329	208	407	415	243	250	236	346
LVA_10234	OG0006251	2	12	31	5	6	15	491	36	14	4	8	8	11	16	19	439	163	128	454	296	287
LVA_10235	OG0003543	46	198	113	400	336	290	90	100	174	299	218	209	114	157	141	315	170	200	194	163	114
LVA_10236	OG0008737	817	1322	1380	881	1144	822	687	900	731	371	1047	994	509	295	547	669	350	415	395	402	336
LVA_10237	NA	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	2	0	0	0	2
LVA_10238	OG0011943	311	192	591	547	468	335	682	934	592	752	1262	728	784	694	700	815	397	629	507	271	316
LVA_10239	OG0008738	705	440	1426	2533	1444	1642	1303	1593	2118	1136	1667	2879	649	760	751	1004	601	802	902	611	650
LVA_1024	OG0002982	0	0	0	0	0	0	0	0	0	0	0	0	6	4	4	4	0	0	0	2	0
LVA_10240	NA	100	60	211	309	215	274	318	364	456	295	429	674	186	180	169	234	122	180	194	161	169
LVA_10241	NA	8	7	19	28	16	27	20	42	44	18	27	43	11	17	21	15	9	21	29	12	21
LVA_10242	OG0014916	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
LVA_10245	OG0000707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10246	NA	21	30	54	161	208	269	235	332	210	188	291	222	555	319	739	809	644	800	647	476	454
LVA_10248	NA	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	7	6	0	1	0	0
LVA_10249	OG0000979	72	90	177	143	273	240	101	135	169	43	346	344	23	23	933	75	40	40	97	82	124
LVA_10250	OG0002861	22	8	24	31	41	78	325	334	275	253	417	422	104	109	114	101	58	97	69	34	53
LVA_10251	OG0000617	0	2	0	5	2	2	1	3	0	1	1	0	196	32	47	27	40	356	80	7	15
LVA_10252	OG0002861	959	671	1400	2038	2452	2784	5612	6637	4904	4585	7191	7828	1712	1784	2032	1827	968	1513	1089	603	754
LVA_10253	OG0014915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10254	OG0008736	220	1	0	1	2	0	2	1	6	6	0	4	0	0	0	105	47	132	273	249	176
LVA_10255	OG0008735	0	192	7	9	3	12	73	70	60	58	85	76	31836	25588	32789	29171	18785	18574	13017	9973	11671
LVA_10256	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	0	0	1	0
LVA_10257	OG0002503	1	2	0	0	0	3	0	1	3	3	2	0	0	0	0	0	0	0	0	1	0
LVA_10258	NA	0	1	0	0	2	1	0	2	1	0	1	1	1	1	0	0	1	0	0	0	0
LVA_10259	OG0006618	52	168	248	101	127	193	175	243	562	106	386	242	3729	4924	4951	12304	9125	9916	14684	11188	12759
LVA_1026	OG0000632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LVA_10260	OG0006475	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0
LVA_10261	OG0011942	2	0	0	1	0	0	0	0	1	0	0	1	0	0	6	2	3	3	15	16	29
LVA_10262	OG0011942	0	0	0	0	0	2	0	0	1	0	1	2	0	1	5	1	4	1	8	23	17
LVA_10264	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1
LVA_10265	OG0001222	1	0	0	2	0	0	1	0	0	0	2	0	36	0	8	0	4	1	2	9	6
LVA_10267	OG0011552	583	286	640	1004	374	565	370	272	378	223	1149	323	244	358	541	529	364	375	455	522	385
LVA_1027	OG0007518	10	70	58	143	110	165	231	272	141	198	294	208	662	516	870	312	267	268	148	80	76
LVA_10270	NA	1	2	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	4	6
LVA_10271	OG0001338	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LVA_10273	OG0001338	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	1	1	1	0
LVA_10274	NA	805	558	334	1629	771	2873	1349	1266	1137	1068	1072	1654	950	1116	2026	2240	1312	1143	1665	1020	1253
LVA_10275	OG0006178	61	88	121	259	159	436	875	1110	163	708	1080	984	74	58	18	55	74	28	192	62	78
LVA_10276	NA	1	0	6	15	2	4	0	2	16	1	6	4	11	0	1	11	8	10	51	53	49
LVA_10277	NA	4	3	6	67	13	21	14	24	109	7	40	29	7	1	1	7	8	8	53	45	27
LVA_10278	OG0014935	499	221	305	47	346	534	345	403	389	185	459	413	1006	692	917	975	860	1007	466	289	242
LVA_10279	OG0006257	16	8	22	165	18	47	42	50	239	9	73	86	21	7	6	26	26	32	120	93	89
LVA_1028	OG0007519	455	596	933	4144	3413	5402	4777	6054	3089	3308	4736	4625	1021	1040	1543	1933	877	1554	1154	634	770
LVA_10281	OG0011988	19	16	5	5	21	25	16	24	9	6	5	8	1148	1435	1737	2856	1584	1698	1712	1200	1225
LVA_10286	OG0000039	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	2	0	2	1
LVA_10287	OG0002847	566	100	70	1096	708	682	613	628	596	374	822	886	154	94	132	780	396	524	834	620	608
LVA_10288	OG0004390	25	6	54	46	102	10	46	84	9	8	197	8	182	259	226	295	350	248	389	232	203
LVA_10289	OG0000160	0	1	2	0	0	2	0	1	0	1	3	1	3	3	2	1	8	15	11	4	5
LVA_10290	OG0004552	544	518	968	2886	3865	5028	5858	6818	3284	2139	5156	4815	846	814	903	1922	1266	1188	1293	850	825
LVA_10291	OG0004551	35	165	49	476	375	582	255	220	110	301	807	448	60	82	150	63	109	160	247	89	107
LVA_10292	OG0006256	603	873	567	1146	1075	1288	1284	1619	1006	936	1653	1377	904	669	789	1120	524	617	503	436	362
LVA_10296	OG0018700	215	340	391	1633	1232	1655	2916	3508	1838	1338	2456	2630	2971	1981	2872	4500	2707	2892	2510	1576	1461
LVA_10297	OG0011987	597	539	1162	4095	3069	5878	8078	9786	6207	4256	6922	9545	1573	1743	1756	2621	1405	1924	1532	749	739
