H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_26771	OG0013831	839	1303	652	891	973	795	4072	2240	2958	758	1919	1901	977	1326	851	224	590	417	577	603	137
HER_26772	OG0010784	5980	8088	8525	5154	3965	3289	6485	4854	4918	3389	5528	4916	8415	7611	5814	4655	6443	3833	5998	3866	1926
HER_26774	OG0013827	4	0	8	28	28	12	8	38	34	50	8	50	81	32	202	300	501	236	750	451	144
HER_26775	OG0013824	141	109	193	539	730	524	929	1065	693	581	698	828	292	298	170	105	211	120	115	100	51
HER_26779	OG0013822	1325	1225	1030	1771	2180	1931	5233	1981	3335	815	3174	4029	4519	2621	3936	4585	4172	3016	6226	4290	1806
HER_26780	OG0013819	19	30	22	202	197	241	988	774	1140	507	829	361	29	75	32	35	22	22	45	52	34
HER_26781	OG0017031	3	2	1	1	5	15	11	6	26	5	11	10	18	10	3	5	6	1	5	1	3
HER_26782	OG0006453	478	372	425	961	1102	964	1471	1147	2052	606	1042	1076	3221	2914	1473	1335	1573	1630	2051	1217	1066
HER_26783	OG0012370	19	135	43	111	123	109	99	135	116	70	82	86	219	46	69	69	169	61	113	81	70
HER_26784	OG0000014	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1
HER_26785	OG0000014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
HER_26786	OG0000014	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
HER_26787	OG0000014	0	0	0	1	0	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0	0
HER_26788	OG0012369	96	119	125	513	581	476	1276	703	896	400	814	723	197	305	134	112	248	208	141	132	79
HER_26789	OG0003975	1	0	0	2	0	16	25	0	6	0	18	6	30	28	6	2	13	12	18	11	5
HER_2679	OG0013464	1377	2309	2627	5804	4857	4107	9309	5805	7689	2001	4563	7339	6353	7883	4684	2024	3252	2600	3525	2937	1175
HER_26790	NA	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
HER_26792	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26793	NA	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	0	0	0
HER_26794	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_26797	NA	0	0	0	1	0	0	0	0	1	1	0	0	74	56	25	7	29	15	23	18	8
HER_26798	OG0000828	0	0	0	0	0	0	0	2	1	1	0	18	0	6	0	0	0	0	0	0	0
HER_26799	NA	0	0	0	0	1	0	0	16	0	3	0	0	1	2	5	3	1	1	12	9	0
HER_26800	NA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
HER_26803	OG0000379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26805	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0
HER_26807	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26808	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26810	NA	0	0	0	1	0	4	0	1	2	0	0	3	0	0	0	0	1	1	1	2	0
HER_26811	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26812	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
HER_26813	OG0000828	0	1	0	8	0	10	1	0	13	0	0	14	0	2	1	0	1	1	0	1	0
HER_26815	OG0013810	1453	2061	1342	1874	2138	1517	4456	3702	2735	3278	4148	3203	2076	3621	2349	2266	2123	1488	2318	1441	923
HER_26816	OG0010760	0	1	2	4	6	2	8	5	5	4	2	6	38	41	41	28	35	40	81	47	19
HER_26818	NA	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0
HER_26819	OG0013805	62	46	48	661	341	224	2356	712	1027	326	1284	694	217	416	153	111	142	66	234	154	75
HER_26821	NA	0	0	0	0	1	0	2	2	0	2	0	0	2	5	3	13	10	7	52	29	19
HER_26822	OG0005525	168	24	102	242	130	447	77	105	83	129	79	138	163	455	194	144	77	66	124	102	66
HER_26823	OG0003501	2	0	1	6	2	3	1	0	0	0	0	0	0	0	0	1	3	1	1	0	1
HER_26826	OG0000828	3	0	0	0	1	0	0	0	1	0	0	4	0	2	0	0	0	0	1	0	0
HER_26827	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26829	OG0000828	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
HER_2683	NA	0	0	2	0	1	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0
HER_26830	OG0009880	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26834	NA	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
HER_26836	OG0000828	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0
HER_26839	NA	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
HER_26840	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26841	NA	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
HER_26842	NA	204	334	200	364	398	266	1101	852	598	458	910	666	464	734	417	264	437	279	516	252	179
HER_26843	NA	150	257	148	258	306	220	628	604	374	795	891	511	300	590	297	210	294	206	326	186	121
HER_26844	OG0010760	0	0	0	3	1	2	6	3	3	3	1	6	26	35	26	20	21	38	59	27	12
HER_26846	OG0013805	42	29	22	370	196	155	1211	689	654	271	608	322	114	212	122	63	92	52	162	119	46
HER_26847	OG0007730	0	0	0	1	5	0	3	2	0	0	0	2	4	8	4	24	14	10	64	37	32
HER_26848	OG0005525	26	6	16	66	26	86	22	20	16	12	10	35	32	80	34	27	13	13	29	22	13
HER_26849	OG0003501	2	0	0	4	2	3	1	0	0	0	0	0	2	0	0	1	4	1	1	0	1
HER_2685	OG0000572	0	2	0	2	3	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
HER_26850	NA	315	489	495	620	646	526	1514	1138	1308	452	962	671	594	456	196	72	82	28	102	63	44
HER_26852	OG0001306	42	78	34	204	209	229	541	420	461	281	356	391	158	182	89	76	57	40	103	80	41
HER_26854	NA	6	5	2	20	22	27	63	53	44	46	62	46	18	26	12	6	6	2	12	6	2
HER_26856	OG0009275	1404	1429	2398	4297	4692	4135	5102	3912	3392	3228	4201	6710	935	4422	982	475	710	381	362	245	120
HER_26857	OG0009741	0	0	0	11	3	5	4	6	17	1	0	5	565	391	478	320	506	365	396	302	83
HER_26858	OG0009742	0	0	0	0	0	0	5	1	1	1	2	0	0	1	0	0	0	4	0	0	0
HER_26859	OG0001643	598	804	1067	3567	2661	2260	3301	2792	1589	2698	2790	3675	1114	1744	1242	1103	1674	1020	1988	1414	1720
HER_26860	OG0016745	1	1	1	10	4	11	50	17	34	6	27	19	0	8	0	0	0	0	0	0	0
HER_26862	OG0006924	6	16	11	75	50	65	316	101	236	56	210	165	12	49	8	3	5	2	2	2	2
HER_26863	OG0003051	18	29	39	72	79	49	167	60	133	31	114	133	50	108	41	56	73	71	133	106	37
HER_26865	OG0017023	653	109	560	729	675	476	1486	654	1238	324	940	1127	119	327	146	208	188	184	296	173	116
HER_26866	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
HER_26868	OG0018205	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3
HER_26869	OG0004082	7	30	6	269	144	388	1290	304	242	132	580	206	176	316	190	117	156	132	314	256	78
HER_26870	NA	0	0	0	1	2	2	3	2	2	2	3	1	1	3	3	1	2	2	1	1	1
HER_26871	OG0017022	142	31	242	435	267	189	177	298	231	205	196	531	748	851	1112	1482	1205	1595	1964	1356	1162
HER_26872	OG0017021	205	200	210	1532	1435	1202	2041	1236	1426	1220	2194	2112	2159	2900	2316	4218	3302	3764	5536	4148	2674
HER_26874	OG0010727	374	859	894	1937	1874	1660	8335	5337	4885	2197	4786	3720	1064	1939	1059	404	691	585	1055	927	189
HER_26879	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HER_26881	OG0000145	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0
HER_26882	NA	24	4	17	6	17	13	16	36	20	40	24	72	140	423	484	930	853	685	1362	906	624
HER_26883	OG0007447	12	1	3	0	9	6	3	3	3	2	1	31	1	2	0	15	7	12	34	8	6
HER_26884	OG0001306	1	0	0	1	4	2	0	0	1	1	1	4	6	1	1	3	1	1	1	1	1
HER_26885	OG0000072	0	3	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1	0
HER_26887	NA	0	0	0	0	0	0	1	0	4	0	0	0	0	1	2	0	2	0	2	1	0
HER_26888	OG0017020	0	0	0	0	3	0	0	0	5	0	0	0	1	0	3	2	6	0	4	1	2
HER_26889	OG0017019	268	9	610	1	177	1	69	3	9	0	70	8	8	15	12	56	20	12	40	25	10
HER_2689	NA	1	0	0	0	0	0	0	0	0	0	0	0	10	8	5	1	3	6	3	3	0
HER_26893	OG0000264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26894	OG0013761	92	188	123	631	525	336	1054	728	1098	291	515	808	467	526	335	330	571	480	808	550	266
HER_26895	OG0010704	62	28	58	85	184	76	336	107	326	55	224	126	190	102	148	226	207	179	481	376	151
HER_26896	OG0005504	886	4152	1434	1136	1156	1071	3620	3118	3690	2206	3108	2490	918	1690	781	657	313	403	556	452	284
HER_26897	NA	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	3	1	2	2	1	1
HER_26902	OG0010698	65	117	68	466	409	369	1995	1195	1316	493	1342	883	45	176	62	52	72	39	106	103	42
HER_26903	OG0010697	1	0	2	7	6	2	6	9	20	5	4	5	659	594	406	214	238	216	177	110	44
HER_26905	OG0007688	1734	2560	1822	1966	2024	1649	3532	3622	3851	1964	2441	2647	1008	1182	787	618	696	587	998	905	420
HER_26907	NA	1	1	1	0	1	1	1	1	0	0	2	4	1	3	1	2	6	2	3	3	3
HER_2691	OG0001247	4	0	4	15	15	32	86	2	47	2	77	35	7	13	6	11	11	4	20	14	6
HER_26911	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26912	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26913	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26915	OG0018192	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HER_26916	OG0007683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HER_26917	OG0007683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26918	OG0007683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26919	OG0007683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_2692	OG0001776	2	8	10	22	33	23	133	49	74	22	71	50	23	25	18	10	18	7	9	12	7
HER_26920	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HER_26921	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
HER_26922	NA	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
HER_26923	OG0004075	52	128	98	394	416	327	1191	598	910	228	694	677	884	844	294	192	349	306	340	250	148
HER_26924	OG0005497	164	249	129	520	462	483	925	640	639	263	599	754	476	601	204	267	340	265	236	268	151
HER_26925	NA	30	41	17	122	118	70	258	192	279	108	188	162	39	56	22	27	53	42	41	37	30
HER_26928	OG0001200	73	6	16	17	83	35	68	74	75	24	47	86	28	55	38	32	39	24	37	26	26
HER_26929	OG0000634	0	0	0	1	0	0	0	0	0	0	0	1	9	2	2	0	1	0	1	0	1
HER_2693	OG0001776	0	3	5	21	17	23	100	37	49	16	53	42	15	14	18	6	13	6	13	9	5
HER_26930	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	1	0	0
HER_26931	OG0002614	0	0	0	1	0	0	0	0	2	0	0	0	4	12	2	5	6	1	2	3	3
HER_26932	OG0004373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26933	NA	0	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	1	2	2	0	2
HER_26934	NA	0	0	0	0	0	0	0	0	0	0	0	2	3	9	4	1	3	5	1	1	3
HER_26936	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
HER_26938	NA	0	0	0	1	1	0	0	0	0	0	0	0	4	2	2	1	1	2	2	1	0
HER_26939	NA	0	0	0	1	0	0	0	0	0	0	0	0	7	10	8	1	4	2	5	3	1
HER_2694	NA	0	0	0	0	0	0	0	0	0	0	0	0	9	14	5	3	5	9	1	1	2
HER_26940	NA	1	2	3	4	2	4	2	1	4	0	2	3	11	7	17	14	26	18	22	12	11
HER_26941	OG0009310	0	0	2	2	3	4	5	4	1	2	4	6	11	13	20	8	30	6	24	10	6
HER_26943	NA	0	1	0	0	1	1	1	0	0	0	1	0	2	2	4	1	2	2	2	1	0
HER_26944	NA	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	2	1	1
HER_26945	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0
HER_26947	NA	1	0	1	0	1	0	2	2	0	0	0	0	2	3	4	0	2	0	2	1	0
HER_26948	OG0011288	3	2	2	2	1	1	3	2	1	1	2	3	3	4	6	3	7	4	3	4	4
HER_26949	OG0000235	1	4	2	3	6	4	9	4	2	4	10	5	8	4	6	4	8	4	5	4	1
HER_2695	OG0001776	2	2	6	19	24	20	116	38	53	18	60	45	18	18	23	9	15	7	18	11	7
HER_26951	OG0002614	0	0	0	0	0	0	0	0	1	0	0	0	3	9	1	4	4	1	2	3	3
HER_26952	OG0004373	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	3	2	4	2	3
HER_26953	NA	0	0	0	0	0	0	0	0	1	0	1	2	15	20	11	3	10	13	7	5	8
HER_26955	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26956	OG0015569	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0
HER_26957	OG0015682	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	2	1	1	2	0
HER_26958	NA	0	0	0	2	1	0	0	2	0	0	0	1	11	14	16	3	11	3	11	8	3
HER_26959	NA	2	2	3	2	6	4	6	2	4	0	4	7	8	12	36	20	36	32	56	36	16
HER_26960	OG0009310	0	0	2	2	3	4	9	4	1	2	2	8	6	12	26	6	29	12	32	16	10
HER_26961	NA	1	2	1	2	4	2	4	1	1	2	2	3	5	6	21	4	12	5	15	13	2
HER_26963	NA	1	0	1	0	1	2	2	2	0	2	1	1	2	4	7	2	2	0	5	2	0
HER_26964	OG0000235	8	12	7	17	20	16	30	11	13	12	35	22	59	16	43	24	74	25	22	24	18
HER_26966	NA	2	0	1	2	6	4	14	12	8	5	16	10	4	4	4	0	1	2	3	3	0
HER_26967	NA	3	4	3	2	11	12	54	16	10	18	72	22	62	10	26	7	56	4	16	8	12
HER_26969	OG0000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_2697	OG0001776	7	7	13	52	83	50	229	117	89	49	106	75	26	33	31	8	20	15	14	15	7
HER_26973	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1
HER_26974	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HER_26975	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26976	NA	98	193	121	75	106	112	278	210	185	159	204	184	87	100	89	59	97	80	111	99	37
HER_26977	OG0010971	353	777	459	268	384	379	1301	967	910	462	720	822	481	435	367	213	472	358	586	596	155
HER_26978	NA	0	18	0	722	112	1316	9585	8	1653	8	5413	53	1741	4	113	76	24	22	126	64	8
HER_26979	NA	0	1	0	8	0	10	8	0	0	0	5	0	845	1	11	54	29	64	18	12	7
HER_26984	NA	0	0	0	0	0	0	0	2	0	2	0	0	14	7	8	2	4	3	6	3	2
HER_26985	NA	0	0	0	0	0	0	0	1	0	0	0	0	1	3	2	1	1	1	1	0	0
HER_26987	OG0011224	32	132	52	368	300	308	1012	556	680	308	706	460	28	120	36	40	44	20	42	30	36
HER_26990	OG0000257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26991	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_26992	OG0017038	12	33	18	44	71	83	115	160	80	134	105	58	139	43	186	226	124	131	349	266	178
HER_26995	NA	5	22	0	0	5	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
HER_26997	OG0013861	2	1	0	2	2	0	1	6	2	4	0	2	0	2	0	1	2	2	4	2	0
HER_26998	OG0003256	2	0	0	2	3	2	0	38	1	42	2	1	0	14	7	25	32	19	64	54	4
HER_26999	OG0015759	2	6	8	31	37	21	26	18	79	16	28	135	12	29	4	12	8	15	24	14	13
HER_270	OG0000005	2	0	1	17	7	1	5	0	0	0	5	2	9	9	2	1	0	0	0	0	1
HER_2700	OG0000440	0	0	0	8	2	3	5	2	1	1	5	1	3	2	1	1	3	2	4	1	0
HER_27001	NA	5	22	0	0	5	8	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
HER_27003	OG0013861	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27004	OG0003256	1	0	0	0	1	2	0	26	1	21	1	0	0	8	2	6	18	9	36	27	2
HER_27005	NA	0	0	1	9	4	4	4	5	16	4	4	24	2	8	1	1	4	3	4	2	2
HER_27006	OG0003221	0	0	1	0	1	0	2	0	3	1	2	4	41	14	34	1	20	4	18	8	3
HER_27008	OG0005555	4	18	10	63	60	35	77	41	90	23	71	48	590	466	653	108	165	491	596	508	115
HER_2701	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27010	NA	6	8	8	46	46	18	500	108	334	66	506	118	145	107	208	121	58	258	258	202	40
HER_27011	NA	10	14	13	7	8	10	12	12	1	12	15	6	177	111	288	118	180	223	580	456	88
HER_27012	OG0006507	0	0	0	23	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HER_27013	OG0003221	0	0	0	0	0	0	0	0	0	0	0	0	14	2	11	1	0	0	8	4	0
HER_27014	OG0005555	2	8	4	31	33	23	39	36	64	19	29	34	351	222	563	49	86	229	511	381	48
HER_27016	NA	1	2	1	3	2	2	2	3	2	2	4	2	1	2	4	4	2	2	4	3	2
HER_27018	OG0006507	0	0	0	13	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HER_27019	OG0007786	23	29	22	274	217	153	363	344	304	174	216	248	39	64	33	27	36	42	52	40	12
HER_27020	OG0007786	18	32	24	294	188	127	342	314	251	146	200	215	44	59	31	26	32	42	43	42	14
HER_27023	OG0013874	8	24	30	60	56	124	142	56	111	44	110	58	1618	1743	831	280	548	436	336	272	184
HER_27026	NA	10	40	27	270	217	247	550	193	294	110	299	317	231	224	168	131	279	202	186	111	79
HER_27027	OG0001646	1	0	1	1	7	3	8	1	3	2	10	7	11	12	1	22	28	17	10	3	13
HER_27029	OG0019333	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0
HER_2703	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	1	3	3	2	2	1
HER_27030	NA	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	0	0	0
HER_27031	OG0001340	0	0	0	2	0	0	1	0	0	0	0	0	2	11	0	3	0	2	2	0	2
HER_27032	OG0006962	0	0	0	8	8	2	4	1	4	0	2	8	10	11	6	4	10	8	4	4	2
HER_27033	OG0002675	0	1	2	5	3	3	55	24	30	19	20	29	3	9	6	2	4	2	4	5	1
HER_27034	NA	0	1	2	0	1	0	1	0	0	0	1	0	0	0	3	0	0	0	2	1	0
HER_27035	OG0002675	2	10	13	84	48	57	278	116	158	63	124	158	35	43	39	32	62	49	85	81	40
HER_27037	NA	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0
HER_27038	NA	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	1	2	3	1	0	0
HER_27039	OG0001340	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0
HER_2704	NA	0	0	0	0	0	0	1	0	0	0	0	0	2	2	2	1	1	3	3	1	0
HER_27040	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
HER_27041	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HER_27043	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27044	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1
HER_27046	OG0006962	0	0	0	7	9	2	4	1	4	0	2	8	10	11	6	6	10	8	6	5	2
HER_27047	OG0002675	1	7	10	52	41	34	308	204	161	115	147	175	24	53	46	26	46	44	80	88	36
HER_27048	OG0005563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HER_27049	OG0005563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
HER_2705	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	1	2	1	2	1
HER_27050	OG0013869	1	3	0	10	6	2	16	21	14	12	12	125	154	168	227	85	177	132	268	207	48
HER_27051	OG0018223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27052	NA	0	6	0	4	18	4	5	2	4	2	5	2	0	2	3	19	16	12	32	24	8
HER_27053	OG0015765	10	0	18	84	59	88	393	60	145	40	281	20	8	4	2	6	3	2	4	2	0
HER_27054	OG0007790	0	0	0	0	0	1	0	2	0	1	0	0	2	4	0	6	5	4	10	6	5
HER_27055	OG0013869	0	2	0	6	3	2	6	10	8	5	6	72	70	92	112	43	90	62	134	98	28
HER_27056	OG0018223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27057	NA	0	5	0	4	12	2	4	0	2	2	3	0	0	2	4	15	12	8	22	14	6
HER_27058	OG0015765	4	0	7	35	20	34	138	23	52	16	107	6	2	2	2	0	2	0	0	0	0
HER_27059	OG0007790	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	4	4	4	10	6	6
HER_27060	OG0015763	0	0	0	2	0	0	3	1	0	0	1	0	0	0	0	0	0	2	1	1	5
HER_27061	OG0015762	0	0	0	3	2	3	2	5	0	0	5	1	0	0	0	2	0	0	1	2	0
HER_27062	OG0010818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27063	OG0000171	0	0	0	3	2	0	3	0	3	0	4	1	0	0	0	1	0	0	0	0	0
HER_27064	OG0000171	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27065	OG0000171	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	4	0	5	7	0
HER_27066	OG0013025	11	0	8	36	40	13	1	10	33	4	0	53	1	5	2	1	0	0	4	0	0
HER_27067	OG0013179	0	0	1	0	0	3	1	0	1	0	0	1	0	4	0	1	0	0	0	0	0
HER_27069	OG0003103	228	456	384	2439	1964	1752	4532	3151	3186	1290	2300	2874	1144	1596	1092	616	644	662	1312	928	344
HER_2707	NA	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0
HER_27070	OG0004065	16	47	44	127	122	109	374	182	283	61	207	253	111	86	69	11	24	23	45	31	14
HER_27071	NA	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	2	0
HER_27072	OG0000512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
HER_27077	NA	1	1	1	0	0	1	2	1	1	2	2	0	1	0	0	0	0	0	0	0	0
HER_27079	OG0013865	275	420	409	1225	630	501	1659	609	1232	284	1048	889	107	249	198	101	111	77	354	212	80
HER_2708	OG0001776	1	3	5	22	27	24	102	37	47	22	70	34	24	22	23	12	25	17	23	19	13
HER_27080	OG0010817	73	61	191	272	277	176	761	364	631	191	369	383	832	650	776	348	658	534	1257	946	261
HER_27081	OG0013864	18	1	15	5	16	10	70	8	30	5	46	12	2	4	1	1	0	1	0	0	1
HER_27082	OG0000110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27083	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
HER_27085	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	1	1
HER_27087	OG0001002	0	0	1	0	0	1	2	2	0	1	2	1	0	0	1	1	4	4	2	3	2
HER_2709	NA	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
HER_27094	OG0001002	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	2	2	1	1
HER_27097	NA	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
HER_2710	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
HER_27103	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
HER_27104	NA	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_27105	OG0001002	0	0	3	0	2	0	0	1	0	0	0	5	1	1	0	0	0	0	0	0	0
HER_27109	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HER_2711	NA	0	0	2	15	1	0	1	0	0	0	1	0	2	6	1	1	1	1	4	4	1
HER_27119	OG0001759	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
HER_27122	OG0000136	1	1	0	2	1	2	3	3	2	2	3	0	6	0	0	1	5	0	1	0	2
HER_27123	OG0001002	2	0	0	0	2	0	1	6	2	4	0	0	2	0	0	0	0	3	0	0	1
HER_27126	OG0001002	0	0	2	0	0	1	2	1	0	1	2	1	0	0	4	2	6	10	9	6	8
HER_27127	OG0001187	0	0	0	1	1	0	8	0	0	1	2	0	4	2	1	1	1	0	0	0	0
HER_27128	NA	39	0	80	0	14	18	2	22	21	10	2	4	10	4	7	1	3	6	2	3	2
HER_27129	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	6	1	0	1	1
HER_2713	OG0013437	538	117	559	384	179	222	413	320	212	425	546	812	6598	6805	9465	22747	25066	18269	25742	17252	15699
HER_27130	OG0000616	0	0	0	0	0	0	1	0	0	0	0	0	2	2	1	0	0	1	1	1	0
HER_27132	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
