Orthogroup	H_ery.longestprot	E_luc.longestprot
OG0000014	HER_19710, HER_25545, HER_4353, HER_41430, HER_34584, HER_25456, HER_41101, HER_29072, HER_3105, HER_41098, HER_28984, HER_42655, HER_26785, HER_30446, HER_7224, HER_37884, HER_34211, HER_15054, HER_30445, HER_15055, HER_43106, HER_41021, HER_8126, HER_45465, HER_32793, HER_32752, HER_45463, HER_41023, HER_3103, HER_4955, HER_26787, HER_43108, HER_29069, HER_34586, HER_3971, HER_41429, HER_19711, HER_5855, HER_46272, HER_41420, HER_3365, HER_3242, HER_37176, HER_7222, HER_23544, HER_1346, HER_1343, HER_37886, HER_40763, HER_4354, HER_3399, HER_3368, HER_3970, HER_41419, HER_41097, HER_28985, HER_43085, HER_31260, HER_25455, HER_31261, HER_28982, HER_34210, HER_32754, HER_32797, HER_32791, HER_5853, HER_32751, HER_32794, HER_3106, HER_34583, HER_19708, HER_43109, HER_37177, HER_11357, HER_29073, HER_34209, HER_46271, HER_25457, HER_25544, HER_25547, HER_4958, HER_4352, HER_34212, HER_30447, HER_3397, HER_40766, HER_42654, HER_31262, HER_37175, HER_28981, HER_15053, HER_42471, HER_31210, HER_15645, HER_19712, HER_26784, HER_37883, HER_32755, HER_31259, HER_42658, HER_41020, HER_3107, HER_45466, HER_25454, HER_41102, HER_43105, HER_32792, HER_32798, HER_32753, HER_3243, HER_42470, HER_5854, HER_43086	ELU_353
OG0000015	HER_486, HER_488, HER_482, HER_472, HER_485, HER_466	ELU_32920, ELU_32918
OG0000015	HER_542	ELU_32911
OG0000015	HER_8891	ELU_29305, ELU_29303
OG0000015	HER_31319, HER_31313	ELU_41095
OG0000016	HER_26044	ELU_28716, ELU_5182, ELU_5192
OG0000016	HER_34168	ELU_50975
OG0000016	HER_34130	ELU_18489, ELU_18486
OG0000016	HER_4836	ELU_43611
OG0000016	HER_27191, HER_27200	ELU_44046, ELU_43723
OG0000016	HER_34129	ELU_32595, ELU_26615
OG0000016	HER_26500	ELU_36627
OG0000016	HER_13925	ELU_42, ELU_46894
OG0000016	HER_10720, HER_10673, HER_10698	ELU_4315, ELU_4314
OG0000016	HER_32963	ELU_19917
OG0000017	HER_41693, HER_33947, HER_44032	ELU_38174
OG0000017	HER_42372, HER_34667	ELU_43720
OG0000019	HER_16509	ELU_48492
OG0000019	HER_17735	ELU_23362, ELU_23363, ELU_22965
OG0000019	HER_22271	ELU_22936
OG0000019	HER_45405	ELU_142, ELU_140
OG0000021	HER_44105	ELU_20506, ELU_3208
OG0000021	HER_42913, HER_44185, HER_44191, HER_44174, HER_44190, HER_44076, HER_44057, HER_2436	ELU_31986, ELU_10630, ELU_22323, ELU_3203, ELU_32524, ELU_41554
OG0000021	HER_42468, HER_42482	ELU_19983
OG0000021	HER_44180, HER_44218, HER_44176, HER_44150, HER_44187, HER_44107, HER_44106, HER_44164, HER_44086, HER_44088, HER_44082, HER_44178, HER_44158, HER_44184, HER_44183, HER_44221, HER_44182, HER_44152, HER_39994, HER_30562, HER_44050, HER_44220, HER_44065, HER_44045, HER_44069, HER_44168, HER_44081, HER_44043, HER_44041, HER_44059, HER_44053, HER_3301, HER_3320, HER_44093, HER_3299, HER_3283, HER_24321, HER_44064	ELU_37411, ELU_22332, ELU_35345, ELU_37434, ELU_22322, ELU_37419, ELU_22329, ELU_37426, ELU_20505, ELU_37417, ELU_10629, ELU_46344, ELU_37415, ELU_22328, ELU_7589, ELU_20507, ELU_32535, ELU_34732, ELU_34729, ELU_7726, ELU_44161, ELU_32532, ELU_52449, ELU_31987, ELU_37432, ELU_7727, ELU_10148, ELU_3206, ELU_32528, ELU_32525, ELU_37431, ELU_32523, ELU_32534, ELU_37427, ELU_37428, ELU_37425, ELU_34733, ELU_32526, ELU_32527
OG0000021	HER_44173, HER_44052	ELU_50196, ELU_32531, ELU_32530, ELU_34734, ELU_35343
OG0000022	HER_25678	ELU_42992
OG0000022	HER_5506	ELU_42993
OG0000022	HER_5840	ELU_46634
OG0000023	HER_25367, HER_34075, HER_46518, HER_22080, HER_36149, HER_36146, HER_16088, HER_23766, HER_17477, HER_31731, HER_19600	ELU_28455
OG0000023	HER_20694	ELU_51332, ELU_6487
OG0000024	HER_2926, HER_11617	ELU_23291
OG0000024	HER_43638	ELU_3196
OG0000024	HER_16565	ELU_21864, ELU_21865, ELU_21863
OG0000024	HER_4027	ELU_21858
OG0000024	HER_46860, HER_2938, HER_2943	ELU_38362
OG0000024	HER_13596	ELU_21006
OG0000024	HER_28513, HER_28158, HER_28823	ELU_51717, ELU_33374, ELU_411, ELU_22155, ELU_31953, ELU_51900, ELU_47264, ELU_41723, ELU_41724, ELU_2085, ELU_4292, ELU_10669, ELU_51697, ELU_50818, ELU_3822, ELU_10668, ELU_50494, ELU_21795, ELU_21796, ELU_21808, ELU_21993, ELU_51696, ELU_21645, ELU_21636, ELU_52535
OG0000026	HER_36989	ELU_46301, ELU_37175, ELU_44083, ELU_37174, ELU_26050, ELU_32820, ELU_37173
OG0000027	HER_5740	ELU_2370, ELU_2375, ELU_49112, ELU_46507
OG0000027	HER_15099, HER_15117, HER_26569	ELU_5102
OG0000027	HER_27385	ELU_3812, ELU_37284, ELU_22934, ELU_4862, ELU_23027
OG0000027	HER_23827, HER_23810	ELU_42595
OG0000027	HER_17755, HER_39654, HER_4670	ELU_48464, ELU_48457, ELU_16280
OG0000027	HER_37601	ELU_15654, ELU_15653
OG0000028	HER_29085	ELU_5877
OG0000028	HER_39653	ELU_16279
OG0000028	HER_14727, HER_27386	ELU_3811, ELU_37283
OG0000028	HER_18271	ELU_37121, ELU_43801
OG0000028	HER_5738	ELU_2367, ELU_5439
OG0000029	HER_9301	ELU_29870
OG0000029	HER_45468, HER_4025	ELU_8244, ELU_29851
OG0000029	HER_11941	ELU_51728
OG0000029	HER_37888	ELU_15334
OG0000030	HER_33139	ELU_22166, ELU_9929, ELU_11107, ELU_6144
OG0000030	HER_20117	ELU_36182
OG0000030	HER_46834, HER_22996	ELU_30916
OG0000031	HER_8984	ELU_29024
OG0000031	HER_9537	ELU_36717
OG0000032	HER_38249, HER_23987	ELU_4378
OG0000033	HER_12141, HER_14170, HER_21497	ELU_21595, ELU_5755, ELU_9878, ELU_8380, ELU_32821, ELU_5658, ELU_5466
OG0000033	HER_48524, HER_11800, HER_11787, HER_7610	ELU_19406, ELU_19635, ELU_36597, ELU_51114, ELU_5438, ELU_1539, ELU_2477, ELU_41471, ELU_50248
OG0000033	HER_15567	ELU_35793, ELU_35797, ELU_19743
OG0000034	HER_11178, HER_24885	ELU_52061
OG0000034	HER_28655, HER_32874, HER_27534, HER_27502, HER_14411, HER_13405	ELU_27276
OG0000035	HER_10230	ELU_31798, ELU_31801
OG0000035	HER_47680, HER_47678	ELU_54236
OG0000035	HER_7848	ELU_29628, ELU_29630
OG0000035	HER_7850	ELU_29626, ELU_29625
OG0000035	HER_7853, HER_7852	ELU_29627, ELU_29629
OG0000035	HER_7847	ELU_52770, ELU_29631
OG0000035	HER_7841	ELU_52774, ELU_54332
OG0000035	HER_7846, HER_7845, HER_7842	ELU_52772, ELU_29633, ELU_29632, ELU_52771
OG0000036	HER_41313, HER_41319, HER_41323	ELU_44449
OG0000036	HER_41288, HER_41271, HER_41303	ELU_44446, ELU_12527
OG0000036	HER_6499, HER_6520, HER_6530, HER_6545	ELU_1006, ELU_1001, ELU_1008, ELU_7159, ELU_7166, ELU_1023, ELU_3989
OG0000036	HER_6539, HER_6535, HER_6536, HER_6542	ELU_1012
OG0000036	HER_6513, HER_6505	ELU_7164
OG0000037	HER_45434, HER_36075	ELU_44323
OG0000037	HER_49957, HER_43537, HER_19076	ELU_44324
OG0000037	HER_38195, HER_25337	ELU_13944, ELU_13942, ELU_13933
OG0000038	HER_14024	ELU_51087, ELU_19016, ELU_2962, ELU_16841
OG0000038	HER_25654	ELU_21128, ELU_19782, ELU_36638, ELU_2661, ELU_51074, ELU_27502, ELU_46093, ELU_28084, ELU_13700, ELU_26579
OG0000038	HER_29013, HER_12051	ELU_34111, ELU_36662
OG0000040	HER_45859, HER_45860	ELU_2761, ELU_2765
OG0000040	HER_29160	ELU_5903, ELU_5909
OG0000040	HER_29147	ELU_5911
OG0000040	HER_29162	ELU_5898
OG0000040	HER_27709	ELU_6439
OG0000040	HER_29159	ELU_5900, ELU_5905
OG0000040	HER_11292	ELU_31171
OG0000040	HER_45861	ELU_2764, ELU_2759
OG0000043	HER_15118	ELU_45345, ELU_2371
OG0000043	HER_29084	ELU_46508
OG0000043	HER_24122	ELU_11532
OG0000043	HER_5735	ELU_43443
OG0000044	HER_42203	ELU_47542, ELU_19997, ELU_2050, ELU_2204, ELU_19757, ELU_19700, ELU_19760, ELU_19729, ELU_46058, ELU_19761, ELU_19684, ELU_46853, ELU_19730, ELU_41649, ELU_19716, ELU_46855, ELU_19688, ELU_2335, ELU_52626, ELU_47547, ELU_19652, ELU_7220, ELU_7211, ELU_19662, ELU_19656, ELU_47544
OG0000044	HER_42261	ELU_19759, ELU_47546
OG0000046	HER_770, HER_759, HER_777, HER_764, HER_772, HER_773, HER_776, HER_763, HER_765	ELU_33148
OG0000046	HER_774, HER_761	ELU_33150, ELU_16915
OG0000046	HER_762, HER_775	ELU_33173
OG0000048	HER_5737, HER_1406, HER_1391	ELU_2372, ELU_2366
OG0000049	HER_29518	ELU_40135
OG0000049	HER_30469	ELU_10862
OG0000049	HER_17673	ELU_45595
OG0000049	HER_42914, HER_6792	ELU_23528, ELU_23532
OG0000049	HER_8151, HER_8152	ELU_30762, ELU_45594, ELU_10863
OG0000050	HER_19720, HER_41260	ELU_3931, ELU_22073
OG0000050	HER_16860	ELU_6236
OG0000051	HER_216	ELU_46465
OG0000051	HER_22598, HER_10082, HER_16060, HER_29026, HER_41191, HER_41885, HER_13447, HER_11820, HER_5415, HER_36846, HER_1430, HER_1438	ELU_2157, ELU_28711, ELU_46466, ELU_27377, ELU_30058, ELU_42284, ELU_42290
OG0000052	HER_30197, HER_5900	ELU_25384
OG0000053	HER_46509, HER_43799, HER_36912, HER_37364, HER_2044, HER_43868, HER_47107, HER_8949, HER_2595, HER_20870, HER_25060, HER_21857, HER_12256, HER_42725	ELU_39568, ELU_46763, ELU_12884, ELU_34028, ELU_18562, ELU_11860, ELU_21371, ELU_11859, ELU_13467, ELU_39567, ELU_18561, ELU_35673, ELU_11817, ELU_33755, ELU_47613, ELU_52378
OG0000054	HER_24908, HER_29324, HER_45298, HER_30094	ELU_36771, ELU_36770
OG0000054	HER_29154, HER_44002, HER_24925, HER_25018, HER_33679, HER_34152, HER_33689, HER_24782, HER_25028, HER_24905, HER_24791, HER_18832	ELU_28417, ELU_34908, ELU_53845, ELU_46637, ELU_36208
OG0000055	HER_8392	ELU_1647
OG0000055	HER_23974, HER_36133	ELU_2694
OG0000055	HER_15131, HER_17309	ELU_29281, ELU_2693, ELU_48641, ELU_48642
OG0000055	HER_7818	ELU_29255
OG0000055	HER_37819, HER_48475, HER_46277	ELU_35269
OG0000055	HER_2006	ELU_43250, ELU_1543, ELU_51022, ELU_10078
OG0000056	HER_20815	ELU_20698
OG0000056	HER_11907, HER_4134	ELU_26111, ELU_26107
OG0000056	HER_6222, HER_5592, HER_25723	ELU_20695
OG0000056	HER_7959, HER_5686, HER_5500, HER_5504	ELU_7578
OG0000056	HER_11456	ELU_34641, ELU_47420, ELU_20679, ELU_1163
OG0000057	HER_36810	ELU_31748
OG0000057	HER_39847, HER_11638	ELU_31744, ELU_31746
OG0000057	HER_36802, HER_36812	ELU_9587, ELU_9590, ELU_9586, ELU_9589, ELU_9585, ELU_9584
OG0000059	HER_43098	ELU_11428
OG0000059	HER_17175, HER_44633, HER_44593	ELU_7822
OG0000059	HER_491, HER_29639, HER_21740	ELU_9638
OG0000060	HER_1789, HER_31821, HER_44287, HER_5997, HER_8049	ELU_45553
OG0000060	HER_39593, HER_27194, HER_4047, HER_32704, HER_40468, HER_8050, HER_12955, HER_44286, HER_45090	ELU_12159, ELU_2358, ELU_2355, ELU_40534
OG0000060	HER_5297	ELU_31342
OG0000061	HER_25361	ELU_20440
OG0000061	HER_15362, HER_15355, HER_15352	ELU_24363
OG0000061	HER_43123	ELU_20422, ELU_20412, ELU_7556
OG0000061	HER_43139	ELU_46555
OG0000061	HER_43272	ELU_31197
OG0000062	HER_48658	ELU_14491, ELU_41706, ELU_10565, ELU_4206, ELU_793
OG0000062	HER_5683, HER_5691, HER_6232, HER_5988	ELU_47101, ELU_45148, ELU_47096
OG0000062	HER_5690	ELU_13691, ELU_26228, ELU_27843
OG0000062	HER_6200, HER_6219, HER_5942	ELU_1792, ELU_3602, ELU_2141, ELU_27852, ELU_13523
OG0000063	HER_22002	ELU_3992, ELU_8319, ELU_6481, ELU_7965, ELU_7966, ELU_8581, ELU_44266, ELU_44269, ELU_23547, ELU_23544, ELU_20775, ELU_35962, ELU_29532, ELU_33141, ELU_33140, ELU_33136, ELU_33137, ELU_23546, ELU_23545, ELU_20773, ELU_20774, ELU_9826, ELU_12391
OG0000064	HER_18816	ELU_49141, ELU_49137
OG0000064	HER_6827	ELU_49152, ELU_49156
OG0000064	HER_1574	ELU_33793
OG0000064	HER_13061, HER_13060, HER_13062, HER_13059, HER_13063, HER_13058	ELU_21525, ELU_21526, ELU_20202, ELU_20204, ELU_20193, ELU_20195, ELU_20209, ELU_21529, ELU_21533
OG0000064	HER_41536	ELU_19067, ELU_19072, ELU_19064, ELU_19065
OG0000064	HER_41527	ELU_1264, ELU_1263, ELU_49140, ELU_49153
OG0000065	HER_18650, HER_48882	ELU_16248, ELU_49010
OG0000066	HER_13265, HER_13254, HER_13287, HER_13251, HER_13252, HER_13259, HER_13068	ELU_21501, ELU_21202
OG0000066	HER_3983	ELU_30234, ELU_30239
OG0000066	HER_43721, HER_43719, HER_43669, HER_43710, HER_43674, HER_43724, HER_43717, HER_43723, HER_43715, HER_43671, HER_43673, HER_43720, HER_43722, HER_43727	ELU_38560, ELU_21513, ELU_21507, ELU_21514, ELU_21508, ELU_37481, ELU_21528, ELU_21524, ELU_21530, ELU_21502, ELU_21504, ELU_21511, ELU_21505, ELU_37484
OG0000067	HER_17117, HER_17128, HER_36351	ELU_47825, ELU_47823
OG0000067	HER_33592, HER_33590	ELU_16269, ELU_35928, ELU_23348, ELU_26624, ELU_38548
OG0000067	HER_47766, HER_47784	ELU_53449
OG0000071	HER_32132, HER_11738	ELU_20493
OG0000071	HER_11739, HER_32599	ELU_53162, ELU_5483, ELU_37648, ELU_10315, ELU_37641, ELU_21223
OG0000071	HER_44311	ELU_26733
OG0000071	HER_20436	ELU_20664
OG0000072	HER_27531, HER_34982, HER_42628, HER_11992, HER_46006, HER_32158, HER_14028, HER_43387, HER_26885	ELU_7429, ELU_22660
OG0000074	HER_4655, HER_4654	ELU_39079
OG0000074	HER_15254	ELU_24445
OG0000074	HER_30634	ELU_40615
OG0000074	HER_8653	ELU_32405, ELU_32394
OG0000074	HER_47867, HER_47868	ELU_53495, ELU_53493, ELU_53496, ELU_53499, ELU_53500
OG0000075	HER_31615	ELU_40874
OG0000076	HER_36237, HER_36265, HER_36217, HER_36258, HER_36250	ELU_41444, ELU_9200, ELU_9193, ELU_52275, ELU_51614
OG0000076	HER_36261	ELU_8485, ELU_47199
OG0000076	HER_35503	ELU_8476
OG0000076	HER_34540, HER_34513, HER_34611, HER_34522, HER_43560, HER_34543, HER_34531, HER_34680, HER_34633	ELU_47158, ELU_43638, ELU_51920
OG0000077	HER_33863	ELU_36232
OG0000077	HER_47047, HER_47019	ELU_53339, ELU_34628, ELU_34627, ELU_51853, ELU_53340, ELU_10940
OG0000077	HER_33874, HER_33852, HER_33853, HER_33854, HER_33880	ELU_36222
OG0000077	HER_47103	ELU_13437, ELU_53295, ELU_13438, ELU_13446
OG0000077	HER_47101	ELU_53341
OG0000077	HER_33872, HER_40847, HER_33617, HER_33606, HER_33616, HER_33621, HER_33612, HER_33608	ELU_36212, ELU_36213, ELU_8696
OG0000078	HER_8421	ELU_18907
OG0000079	HER_26149, HER_26170, HER_26422, HER_34871, HER_34811, HER_34875	ELU_32087, ELU_42768, ELU_42776, ELU_42780, ELU_42793, ELU_42774, ELU_41281, ELU_42781
OG0000080	HER_43664	ELU_33670
OG0000080	HER_1444	ELU_33665
OG0000080	HER_1230, HER_1227	ELU_33663, ELU_33664
OG0000080	HER_1441, HER_1437, HER_1433, HER_1429	ELU_33668
OG0000081	HER_43538	ELU_49640, ELU_49643, ELU_49644, ELU_49636
OG0000081	HER_18197, HER_18198	ELU_49642, ELU_49641
OG0000082	HER_2900, HER_40778	ELU_54038
OG0000084	HER_18020, HER_34953	ELU_26380
OG0000085	HER_41217	ELU_35488
OG0000085	HER_44888, HER_44950	ELU_52661, ELU_32586, ELU_8479
OG0000086	HER_49410, HER_10884, HER_45020, HER_44894, HER_44895, HER_45005, HER_15377, HER_45168, HER_816, HER_789, HER_1081, HER_1070	ELU_28068, ELU_40653, ELU_33636, ELU_33394, ELU_33473, ELU_43850, ELU_14064, ELU_39486, ELU_50480, ELU_25054, ELU_25055, ELU_33024
OG0000087	HER_20783	ELU_50370, ELU_37073, ELU_50364, ELU_45372
OG0000087	HER_20760	ELU_45363
OG0000087	HER_20762, HER_20764	ELU_45375, ELU_45373, ELU_45377
OG0000088	HER_11229	ELU_31608
OG0000088	HER_45902, HER_9354, HER_9352	ELU_10202, ELU_10199, ELU_44608, ELU_27904, ELU_27902, ELU_27909, ELU_27915
OG0000088	HER_5802	ELU_27911
OG0000088	HER_5798	ELU_27801
OG0000088	HER_5797, HER_36598	ELU_27912
OG0000088	HER_5795, HER_5791, HER_5601	ELU_9962, ELU_9968
OG0000089	HER_44705	ELU_42890, ELU_51283, ELU_44357, ELU_10398, ELU_51280, ELU_42887, ELU_21708, ELU_21704, ELU_21703, ELU_44353, ELU_44354, ELU_21714, ELU_21715, ELU_21716, ELU_21712, ELU_21705, ELU_21710, ELU_21713, ELU_21707, ELU_21717, ELU_21709, ELU_21711, ELU_44355, ELU_21706
OG0000090	HER_17635, HER_49802, HER_1006, HER_1024	ELU_31078, ELU_10871
OG0000090	HER_46569, HER_48401, HER_30795	ELU_22992
OG0000090	HER_49125, HER_14308	ELU_17623
OG0000090	HER_42063, HER_29924	ELU_50684, ELU_17058, ELU_1880, ELU_1879, ELU_27076
OG0000090	HER_29923	ELU_43484, ELU_7027, ELU_27077, ELU_50683
OG0000091	HER_381	ELU_876, ELU_885, ELU_871, ELU_890
OG0000091	HER_406, HER_401	ELU_34862, ELU_34857
OG0000091	HER_376, HER_378	ELU_874, ELU_887
OG0000091	HER_373	ELU_884, ELU_877
OG0000091	HER_375	ELU_886, ELU_875
OG0000092	HER_12548, HER_6216, HER_6203	ELU_46214, ELU_41570, ELU_21106, ELU_49249, ELU_18403, ELU_34782, ELU_43304, ELU_42947, ELU_42949, ELU_34849, ELU_34783, ELU_43305
OG0000092	HER_13478	ELU_21044, ELU_35007, ELU_18589, ELU_7765, ELU_2475, ELU_19048, ELU_1031
OG0000093	HER_43193	ELU_20462, ELU_20468, ELU_51830, ELU_13661, ELU_12553, ELU_20460, ELU_20456, ELU_20471, ELU_20484, ELU_50598, ELU_43809, ELU_13659, ELU_20475
OG0000093	HER_43187, HER_43182, HER_43243, HER_46876	ELU_13658, ELU_13660, ELU_20476, ELU_20485, ELU_20459, ELU_43810, ELU_20486, ELU_20470, ELU_20467, ELU_20461, ELU_20463, ELU_20464, ELU_20483, ELU_13662
OG0000094	HER_41860, HER_40922, HER_50039, HER_41841	ELU_7806, ELU_7800
OG0000094	HER_40864	ELU_7805
OG0000094	HER_40882, HER_40893	ELU_43464
OG0000095	HER_27529, HER_27530, HER_27486, HER_27510, HER_27544, HER_27550, HER_27545	ELU_4421, ELU_38984, ELU_4425, ELU_4380, ELU_4415, ELU_4374, ELU_4400
