Orthogroup	H_tub.longestprot	E_luc.longestprot
OG0000011	HTU_39431, HTU_39378	ELU_32743, ELU_27938, ELU_12803, ELU_44686, ELU_32746, ELU_44059, ELU_32497, ELU_51749, ELU_47696, ELU_46180, ELU_1336, ELU_51693, ELU_3387, ELU_47319, ELU_9941, ELU_46636, ELU_2437, ELU_43371, ELU_52319, ELU_19003, ELU_18, ELU_1421, ELU_1985, ELU_37315, ELU_47329, ELU_52241, ELU_13528, ELU_10752, ELU_46170, ELU_47685, ELU_6172, ELU_41592, ELU_34744, ELU_1494, ELU_44516, m1-g49916, ELU_288, ELU_13527, ELU_44788
OG0000011	HTU_39427, HTU_39376, HTU_39423, HTU_39374	ELU_47684, ELU_10753, ELU_51615, ELU_287, ELU_13529, ELU_32330, ELU_1317, ELU_6171, ELU_43364, ELU_50599, ELU_44517, ELU_43251, ELU_46171, ELU_46663, ELU_46757, ELU_41375, ELU_7585, ELU_52524, ELU_60, ELU_52538, ELU_446, ELU_44541, ELU_51858, ELU_52253, ELU_283
OG0000012	HTU_38725	ELU_20079, ELU_41481, ELU_41489, ELU_41482, ELU_41488
OG0000012	HTU_38726	ELU_3675, ELU_3673, ELU_41486, ELU_41487
OG0000012	HTU_20523	ELU_23691
OG0000012	HTU_17457, HTU_17483	ELU_45781, ELU_45784, ELU_45785
OG0000012	HTU_38422	ELU_15208, ELU_18244
OG0000013	HTU_168	ELU_25214
OG0000013	HTU_39018, HTU_5915	ELU_39373
OG0000015	HTU_11354	ELU_32910, ELU_32905, ELU_32912, ELU_32897
OG0000015	HTU_11348, HTU_11352, HTU_11347, HTU_11539	ELU_32920, ELU_32918
OG0000016	HTU_2515	ELU_28716, ELU_5182, ELU_5192
OG0000016	HTU_22675	ELU_50501, ELU_50989
OG0000016	HTU_3480	ELU_42, ELU_46894
OG0000016	HTU_3611	ELU_4315, ELU_4314
OG0000017	HTU_21887, HTU_1563, HTU_20519	ELU_38174
OG0000019	HTU_27653, HTU_20854, HTU_20822, HTU_19621	ELU_48492
OG0000019	HTU_30598, HTU_37400	ELU_43444
OG0000019	HTU_37370	ELU_2374
OG0000019	HTU_30689	ELU_25759, ELU_14534
OG0000019	HTU_37361	ELU_2368
OG0000019	HTU_21317	ELU_25181
OG0000019	HTU_29439	ELU_142, ELU_140
OG0000020	HTU_7323	ELU_36568
OG0000020	HTU_7267	ELU_44584
OG0000020	HTU_7367	ELU_34720
OG0000020	HTU_7265, HTU_7368	ELU_47239, ELU_18531, ELU_1541
OG0000022	HTU_35419, HTU_35300	ELU_42992
OG0000022	HTU_35602	ELU_42993
OG0000022	HTU_16905	ELU_46634
OG0000022	HTU_15499, HTU_15503	ELU_36982, ELU_27777, ELU_36880
OG0000022	HTU_15501	ELU_36882, ELU_50753, ELU_28043
OG0000023	HTU_3170, HTU_9214	ELU_26292
OG0000024	HTU_6088	ELU_23291
OG0000024	HTU_20946	ELU_3196
OG0000024	HTU_20917, HTU_20945	ELU_21864, ELU_21865, ELU_21863
OG0000024	HTU_588, HTU_589, HTU_590, HTU_587, HTU_585	ELU_38362
OG0000024	HTU_608	ELU_21006
OG0000024	HTU_3874	ELU_51717, ELU_33374, ELU_411, ELU_22155, ELU_31953, ELU_51900, ELU_47264, ELU_41723, ELU_41724, ELU_2085, ELU_4292, ELU_10669, ELU_51697, ELU_50818, ELU_3822, ELU_10668, ELU_50494, ELU_21795, ELU_21796, ELU_21808, ELU_21993, ELU_51696, ELU_21645, ELU_21636, ELU_52535
OG0000025	HTU_36543	ELU_26588
OG0000025	HTU_36540	ELU_26572, ELU_26578, ELU_26574
OG0000025	HTU_36544	ELU_30717, ELU_30729
OG0000025	HTU_11569, HTU_11556	ELU_33084, ELU_33085
OG0000025	HTU_36538, HTU_36560, HTU_36535	ELU_26573, ELU_26585, ELU_26581, ELU_26571, ELU_26569, ELU_26567, ELU_26587, ELU_26570
OG0000025	HTU_38685, HTU_11104, HTU_11118	ELU_33271, ELU_33276, ELU_33267, ELU_33268
OG0000026	HTU_16940	ELU_22216, ELU_46935
OG0000027	HTU_37419, HTU_37369, HTU_37404, HTU_37414, HTU_37399, HTU_37394, HTU_37379, HTU_37424, HTU_37409, HTU_37360, HTU_37439, HTU_37434, HTU_37429, HTU_37389, HTU_37355, HTU_37384	ELU_2370, ELU_2375, ELU_49112, ELU_46507
OG0000027	HTU_19558, HTU_3717, HTU_2774	ELU_5102
OG0000027	HTU_23078	ELU_42595
OG0000027	HTU_27631, HTU_34243, HTU_1854	ELU_48464, ELU_48457, ELU_16280
OG0000027	HTU_32266	ELU_15654, ELU_15653
OG0000028	HTU_5043	ELU_5877
OG0000028	HTU_34242	ELU_16279
OG0000028	HTU_19238, HTU_3716	ELU_3811, ELU_37283
OG0000028	HTU_28197	ELU_37121, ELU_43801
OG0000028	HTU_37411, HTU_37381, HTU_37366, HTU_37416, HTU_37406, HTU_37347, HTU_37376, HTU_37350, HTU_37431, HTU_37362, HTU_37386, HTU_37426, HTU_37436, HTU_37401, HTU_37421, HTU_37357, HTU_37371, HTU_37391, HTU_37396	ELU_2367, ELU_5439
OG0000029	HTU_16354	ELU_47050, ELU_40507, ELU_21041, ELU_8244, ELU_29851, ELU_51728
OG0000029	HTU_1500	ELU_15334
OG0000030	HTU_31988	ELU_22166, ELU_9929, ELU_11107, ELU_6144
OG0000031	HTU_35617	ELU_29024
OG0000031	HTU_2493	ELU_36717
OG0000032	HTU_14888	ELU_4378
OG0000033	HTU_21568, HTU_38198, HTU_33292, HTU_21581, HTU_14160, HTU_30627	ELU_21595, ELU_5755, ELU_9878, ELU_8380, ELU_32821, ELU_5658, ELU_5466
OG0000033	HTU_7129, HTU_37704, HTU_21876, HTU_28246, HTU_40167, HTU_37625, HTU_36478, HTU_30855, HTU_26796, HTU_11455, HTU_16476	ELU_40446, ELU_12014, ELU_512, ELU_21893, ELU_32104
OG0000033	HTU_16939, HTU_38621, HTU_19605, HTU_18719, HTU_10128, HTU_36467, HTU_36476	ELU_19406, ELU_19635, ELU_36597, ELU_51114, ELU_5438, ELU_1539, ELU_2477, ELU_41471, ELU_50248
OG0000033	HTU_20244, HTU_5770, HTU_32863	ELU_52503, ELU_12328, ELU_52859, ELU_350, ELU_35793, ELU_35797, ELU_19743, ELU_13377
OG0000034	HTU_39505, HTU_39534	ELU_52061
OG0000034	HTU_36948	ELU_27276
OG0000035	HTU_9325	ELU_31798, ELU_31801
OG0000035	HTU_41443, HTU_41441	ELU_54236
OG0000035	HTU_7726	ELU_29628, ELU_29630
OG0000035	HTU_7732, HTU_7731, HTU_7729	ELU_29627, ELU_29629
OG0000035	HTU_7725	ELU_52770, ELU_29631
OG0000035	HTU_7721	ELU_52774, ELU_54332
OG0000035	HTU_7724, HTU_7723, HTU_7722	ELU_52772, ELU_29633, ELU_29632, ELU_52771
OG0000036	HTU_37478	ELU_44446, ELU_12527
OG0000036	HTU_37486	ELU_41286, ELU_44451
OG0000036	HTU_13292, HTU_36193	ELU_1006, ELU_1001, ELU_1008, ELU_7159, ELU_7166, ELU_1023, ELU_3989
OG0000036	HTU_36181, HTU_40294	ELU_1012
OG0000037	HTU_7397, HTU_33665, HTU_399	ELU_44324
OG0000037	HTU_4309	ELU_25833
OG0000037	HTU_25006	ELU_13944, ELU_13942, ELU_13933, ELU_9979, ELU_46163
OG0000037	HTU_18311, HTU_12395, HTU_12430, HTU_15534, HTU_20618	ELU_45654, ELU_16845
OG0000038	HTU_39977, HTU_40117, HTU_40105, HTU_40071, HTU_39981, HTU_40002, HTU_40078, HTU_17758, HTU_10846	ELU_33487, ELU_12204, ELU_20603, ELU_13666, ELU_33488, ELU_19017, ELU_20963, ELU_51088
OG0000038	HTU_40823, HTU_3016, HTU_8660	ELU_29109, ELU_2666, ELU_36635
OG0000038	HTU_20717	ELU_21129
OG0000038	HTU_20439, HTU_20273	ELU_50664, ELU_28173, ELU_13705, ELU_51471
OG0000038	HTU_24847	ELU_51087, ELU_19016, ELU_2962, ELU_16841
OG0000038	HTU_20712	ELU_34111, ELU_36662
OG0000040	HTU_29804	ELU_2761, ELU_2765
OG0000040	HTU_5061	ELU_5903, ELU_5909
OG0000040	HTU_5087, HTU_5066	ELU_5911
OG0000040	HTU_5064, HTU_5085	ELU_5901, ELU_5906, ELU_5907
OG0000040	HTU_5086, HTU_5065	ELU_5910, ELU_5902
OG0000040	HTU_5060	ELU_5898
OG0000040	HTU_3825	ELU_6439
OG0000040	HTU_5063, HTU_5084	ELU_5900, ELU_5905
OG0000040	HTU_10492, HTU_10490	ELU_31171
OG0000040	HTU_29806	ELU_2764, ELU_2759
OG0000040	HTU_29805	ELU_2760
OG0000043	HTU_37433, HTU_37368, HTU_37388, HTU_37428, HTU_37378	ELU_45345
OG0000043	HTU_37438	ELU_2371
OG0000043	HTU_37413	ELU_25760
OG0000043	HTU_23456	ELU_22935
OG0000044	HTU_39830, HTU_39773, HTU_39699, HTU_39710, HTU_39631, HTU_39866, HTU_39792, HTU_39641, HTU_39620, HTU_39652, HTU_39615, HTU_39654, HTU_39673, HTU_39595, HTU_39602, HTU_39516, HTU_39492, HTU_39494, HTU_39566, HTU_39509, HTU_39552, HTU_39664, HTU_39584	ELU_19759, ELU_47546
OG0000046	HTU_11633, HTU_11640	ELU_33148
OG0000046	HTU_11631, HTU_11643, HTU_11632, HTU_11638, HTU_11636, HTU_11635, HTU_11634, HTU_11625, HTU_11630, HTU_11637, HTU_11626, HTU_11628, HTU_11627, HTU_11645	ELU_33150, ELU_16915
OG0000046	HTU_11644	ELU_33173
OG0000048	HTU_5726, HTU_37341, HTU_2262, HTU_37422, HTU_37417, HTU_37367, HTU_37353, HTU_37387, HTU_37412, HTU_37363, HTU_37402, HTU_37382, HTU_37372, HTU_37392, HTU_37427, HTU_5728, HTU_37344, HTU_37407, HTU_37358, HTU_37432, HTU_37397, HTU_37377, HTU_37437, HTU_37442	ELU_2372, ELU_2366
OG0000049	HTU_13509, HTU_13508	ELU_40135
OG0000049	HTU_7869	ELU_10862, ELU_45595
OG0000049	HTU_15385, HTU_20697, HTU_4663, HTU_36440	ELU_23528, ELU_23532
OG0000049	HTU_16463	ELU_26357
OG0000049	HTU_7868, HTU_7874, HTU_7866, HTU_7872	ELU_30762, ELU_45594, ELU_10863
OG0000050	HTU_35262, HTU_38850	ELU_3931, ELU_22073
OG0000051	HTU_22426	ELU_39378
OG0000052	HTU_30323	ELU_25384
OG0000053	HTU_11466	ELU_39568, ELU_46763, ELU_12884, ELU_34028, ELU_18562, ELU_11860, ELU_21371, ELU_11859, ELU_13467, ELU_39567, ELU_18561, ELU_35673, ELU_11817, ELU_33755, ELU_47613, ELU_52378
OG0000054	HTU_3780	ELU_3474
OG0000054	HTU_1200	ELU_36771, ELU_36770
OG0000054	HTU_1420, HTU_14630, HTU_14622, HTU_27555, HTU_25031, HTU_25041, HTU_22383, HTU_2033, HTU_1908, HTU_19278, HTU_19078	ELU_28417, ELU_34908, ELU_53845
OG0000054	HTU_18416, HTU_4374, HTU_30745, HTU_23183	ELU_46637, ELU_36208
OG0000054	HTU_26589	ELU_26221, ELU_51038
OG0000055	HTU_32339	ELU_2694
OG0000056	HTU_20993	ELU_7578
OG0000056	HTU_41161, HTU_41155, HTU_40913	ELU_9709
OG0000056	HTU_21641	ELU_34641, ELU_47420, ELU_20679, ELU_1163
OG0000057	HTU_16634, HTU_16624, HTU_10104, HTU_16633	ELU_31748
OG0000057	HTU_16625, HTU_10072, HTU_10103, HTU_10100, HTU_10073, HTU_10070	ELU_31744, ELU_31746
OG0000057	HTU_16636	ELU_9587, ELU_9590, ELU_9586, ELU_9589, ELU_9585, ELU_9584
OG0000059	HTU_6730	ELU_7822
OG0000059	HTU_36983, HTU_41738, HTU_23541, HTU_1735, HTU_31830, HTU_6729, HTU_31857	ELU_9638
OG0000060	HTU_38878	ELU_9290, ELU_25031, ELU_25030
OG0000060	HTU_22094	ELU_45553
OG0000060	HTU_22095	ELU_12159, ELU_2358, ELU_2355, ELU_40534
OG0000060	HTU_28453, HTU_24223	ELU_31342
OG0000061	HTU_39945	ELU_20440
OG0000061	HTU_39901	ELU_2132
OG0000061	HTU_39933	ELU_20422, ELU_20412, ELU_7556
OG0000061	HTU_39873	ELU_46555
OG0000061	HTU_39913	ELU_31197
OG0000061	HTU_39910	ELU_20469
OG0000062	HTU_30506	ELU_14491, ELU_41706, ELU_10565, ELU_4206, ELU_793
OG0000062	HTU_40233, HTU_35942, HTU_35728	ELU_1792, ELU_3602, ELU_2141, ELU_27852, ELU_13523
OG0000064	HTU_26972	ELU_49141, ELU_49137
OG0000064	HTU_36470, HTU_36460	ELU_49152, ELU_49156
OG0000064	HTU_12307, HTU_12305	ELU_33793
OG0000064	HTU_22052	ELU_21525, ELU_21526, ELU_20202, ELU_20204, ELU_20193, ELU_20195, ELU_20209, ELU_21529, ELU_21533
OG0000064	HTU_37787	ELU_19067, ELU_19072, ELU_19064, ELU_19065
OG0000064	HTU_36462	ELU_1264, ELU_1263, ELU_49140, ELU_49153
OG0000065	HTU_20259	ELU_16248, ELU_49010
OG0000066	HTU_22061	ELU_21501, ELU_21202
OG0000066	HTU_9232, HTU_9277	ELU_30234, ELU_30239
OG0000066	HTU_9257	ELU_30190
OG0000066	HTU_39135, HTU_39207, HTU_39136, HTU_37798	ELU_38560, ELU_21513, ELU_21507, ELU_21514, ELU_21508, ELU_37481, ELU_21528, ELU_21524, ELU_21530, ELU_21502, ELU_21504, ELU_21511, ELU_21505, ELU_37484
OG0000067	HTU_13159	ELU_47825, ELU_47823
OG0000067	HTU_7066, HTU_7008, HTU_7064	ELU_16269, ELU_35928, ELU_23348, ELU_26624, ELU_38548
OG0000067	HTU_41547, HTU_41549	ELU_53449
OG0000071	HTU_1470, HTU_6311, HTU_32757, HTU_26527, HTU_39236, HTU_14471	ELU_26733
OG0000072	HTU_15986	ELU_4484
OG0000072	HTU_15985, HTU_6376	ELU_7429, ELU_22660
OG0000074	HTU_1872, HTU_1877	ELU_39079
OG0000074	HTU_19678	ELU_24445
OG0000074	HTU_14337, HTU_14347	ELU_40615
OG0000074	HTU_19040	ELU_23977
OG0000074	HTU_41583, HTU_41584	ELU_53495, ELU_53493, ELU_53496, ELU_53499, ELU_53500
OG0000076	HTU_16241	ELU_41444, ELU_9200, ELU_9193, ELU_52275, ELU_51614
OG0000076	HTU_14995, HTU_14994	ELU_47158, ELU_43638, ELU_51920
OG0000077	HTU_7254	ELU_36232, ELU_53339, ELU_34628, ELU_34627, ELU_51853, ELU_53340, ELU_10940
OG0000077	HTU_7248	ELU_36222
OG0000077	HTU_40742, HTU_40820	ELU_13437, ELU_53295, ELU_13438, ELU_13446
OG0000077	HTU_40837, HTU_41052	ELU_53341
OG0000077	HTU_37833, HTU_37868, HTU_7258, HTU_7082, HTU_7024, HTU_24090	ELU_36212, ELU_36213, ELU_8696
OG0000078	HTU_8010	ELU_18907
OG0000079	HTU_2614	ELU_32087, ELU_42768
OG0000080	HTU_135, HTU_85	ELU_33670
OG0000080	HTU_12033	ELU_33665
OG0000080	HTU_12041, HTU_12045	ELU_33663, ELU_33664
OG0000080	HTU_12289, HTU_12213, HTU_12286, HTU_12274, HTU_12212	ELU_33668
OG0000081	HTU_39344, HTU_39341, HTU_2939	ELU_49640, ELU_49643, ELU_49644, ELU_49636
OG0000081	HTU_2941	ELU_49642, ELU_49641
OG0000082	HTU_39355, HTU_10880	ELU_54038
OG0000084	HTU_3410, HTU_25227	ELU_26381
OG0000084	HTU_136	ELU_26380
OG0000085	HTU_12067, HTU_12053	ELU_52661, ELU_32586, ELU_8479
OG0000086	HTU_29001, HTU_33393, HTU_29107, HTU_29000, HTU_31583, HTU_26538, HTU_26521, HTU_11721, HTU_12172, HTU_10015, HTU_10027, HTU_10035, HTU_10021, HTU_11726, HTU_11730, HTU_11729, HTU_11664, HTU_26522, HTU_11880	ELU_28068, ELU_40653, ELU_33636, ELU_33394, ELU_33473, ELU_43850, ELU_14064, ELU_39486, ELU_50480, ELU_25054, ELU_25055, ELU_33024
OG0000087	HTU_18443, HTU_18446	ELU_50370, ELU_37073, ELU_50364, ELU_45372
OG0000087	HTU_18398	ELU_45363
OG0000087	HTU_18401	ELU_45375, ELU_45373, ELU_45377
OG0000088	HTU_10560	ELU_31608
OG0000088	HTU_35271	ELU_27801
OG0000088	HTU_35248, HTU_35258	ELU_27912
OG0000088	HTU_35211	ELU_9962, ELU_9968
OG0000089	HTU_21569, HTU_21556, HTU_21701, HTU_21681, HTU_21691, HTU_21693, HTU_21684, HTU_21680, HTU_21692, HTU_21694, HTU_21690, HTU_21696, HTU_21698, HTU_21697, HTU_21700, HTU_21699, HTU_21685, HTU_21689, HTU_21688, HTU_21705, HTU_21712, HTU_21715, HTU_21711, HTU_21714, HTU_21713, HTU_21710, HTU_21709, HTU_21708, HTU_21707, HTU_21706, HTU_21704, HTU_21702, HTU_21703, HTU_21679, HTU_21695, HTU_21683, HTU_21682, HTU_28872, HTU_26152	ELU_42890, ELU_51283, ELU_44357, ELU_10398, ELU_51280, ELU_42887, ELU_21708, ELU_21704, ELU_21703, ELU_44353, ELU_44354, ELU_21714, ELU_21715, ELU_21716, ELU_21712, ELU_21705, ELU_21710, ELU_21713, ELU_21707, ELU_21717, ELU_21709, ELU_21711, ELU_44355, ELU_21706
OG0000090	HTU_5860	ELU_43484, ELU_7027, ELU_27077, ELU_50683
OG0000091	HTU_11404	ELU_871, ELU_890
OG0000091	HTU_11387, HTU_11385	ELU_34862, ELU_34857
OG0000091	HTU_11407, HTU_11405	ELU_874, ELU_887
OG0000091	HTU_11410	ELU_884, ELU_877
OG0000091	HTU_11408	ELU_886, ELU_875
OG0000092	HTU_35570	ELU_34782, ELU_43304
OG0000093	HTU_38317	ELU_13658, ELU_13660, ELU_20476, ELU_20485, ELU_20459, ELU_43810, ELU_20486, ELU_20470, ELU_20467, ELU_20461, ELU_20463, ELU_20464, ELU_20483, ELU_13662
OG0000094	HTU_38016	ELU_7805
OG0000095	HTU_3658, HTU_3670, HTU_3683, HTU_3676	ELU_4421, ELU_38984, ELU_4425, ELU_4380, ELU_4415, ELU_4374, ELU_4400
OG0000095	HTU_3664, HTU_3674, HTU_3673, HTU_3667, HTU_3662, HTU_3675	ELU_4416, ELU_38979, ELU_4379, ELU_4399, ELU_37445, ELU_4373, ELU_4429
OG0000096	HTU_16465, HTU_16467, HTU_16271, HTU_16468	ELU_9565, ELU_53733, ELU_53731
OG0000096	HTU_16270	ELU_9564
OG0000097	HTU_37196, HTU_37251, HTU_22834, HTU_22638	ELU_21263, ELU_21267, ELU_21258, ELU_21259
OG0000098	HTU_28041	ELU_22078
OG0000098	HTU_1553	ELU_53721, ELU_24090, ELU_24095
OG0000099	HTU_25011, HTU_40869	ELU_35511
OG0000099	HTU_40870	ELU_35512, ELU_49305
OG0000099	HTU_5393, HTU_5390	ELU_9164
OG0000100	HTU_2088, HTU_2060	ELU_38973, ELU_38986, ELU_38972, ELU_38957, ELU_38954, ELU_38964, ELU_38961, ELU_38970, ELU_38976, ELU_38967
OG0000100	HTU_2070, HTU_2095	ELU_38987
OG0000100	HTU_2094	ELU_38971, ELU_38978, ELU_38968, ELU_38966, ELU_38963, ELU_38969, ELU_38960, ELU_38962, ELU_38955, ELU_38965
OG0000103	HTU_9366	ELU_45966
OG0000103	HTU_38939	ELU_38183, ELU_19307
OG0000104	HTU_24312	ELU_4673, ELU_4668
OG0000104	HTU_22181	ELU_21171, ELU_21169, ELU_21278
OG0000104	HTU_24316, HTU_24309, HTU_24224	ELU_41823
OG0000105	HTU_24166	ELU_1666, ELU_35719, ELU_23091, ELU_32319, ELU_21427
OG0000105	HTU_26752	ELU_47491, ELU_13597, ELU_2490, ELU_7591, ELU_51980, ELU_51574, ELU_29938, ELU_22888
OG0000105	HTU_20720, HTU_34021, HTU_21687	ELU_41178, ELU_41753, ELU_41748, ELU_25475
OG0000106	HTU_21391	ELU_50539, ELU_50655, ELU_21983, ELU_21891, ELU_21885
OG0000106	HTU_21410	ELU_21965
OG0000106	HTU_21376, HTU_21393	ELU_50653, ELU_21902, ELU_28111
OG0000106	HTU_21369	ELU_50540
OG0000107	HTU_31252	ELU_53016
OG0000107	HTU_31253, HTU_26010	ELU_21886
OG0000107	HTU_41095, HTU_23170, HTU_23177, HTU_17131, HTU_17094, HTU_20103, HTU_37323, HTU_6129, HTU_27938, HTU_27955	ELU_53015
OG0000108	HTU_4724	ELU_6039
OG0000108	HTU_37897	ELU_19218
OG0000108	HTU_23284, HTU_23281	ELU_42366
OG0000108	HTU_4725	ELU_6037
OG0000109	HTU_4428	ELU_41167, ELU_19549
OG0000109	HTU_2786	ELU_33514
OG0000109	HTU_37613, HTU_2	ELU_24249
OG0000109	HTU_2321	ELU_47062
OG0000110	HTU_34489, HTU_1389, HTU_1381	ELU_31946
OG0000110	HTU_171, HTU_144	ELU_7214, ELU_7204
OG0000110	HTU_35454, HTU_35462, HTU_38316, HTU_35444	ELU_33448
OG0000110	HTU_38315, HTU_32296	ELU_8854
OG0000112	HTU_6830	ELU_2586, ELU_37107, ELU_41671, ELU_18594, ELU_43208, ELU_9446, ELU_42822, ELU_613, ELU_44840, ELU_29448, ELU_36202, ELU_35332, ELU_5047, ELU_5049, ELU_7355, ELU_54218, ELU_30215, ELU_40052, ELU_40057, ELU_41472, ELU_51032, ELU_12548, ELU_2569, ELU_7505, ELU_37111
OG0000113	HTU_37558	ELU_19571
OG0000113	HTU_37556	ELU_19566
OG0000113	HTU_37560	ELU_19567
OG0000114	HTU_31226, HTU_14631, HTU_14623, HTU_27682	ELU_47315
OG0000115	HTU_23971, HTU_37830	ELU_46644
OG0000116	HTU_m16746	ELU_34998
OG0000116	HTU_16712	ELU_26519
OG0000116	HTU_16729, HTU_6468, HTU_21734, HTU_13276, HTU_22916, HTU_40091	ELU_26516
OG0000116	HTU_20848	ELU_19126, ELU_3137, ELU_44692, ELU_10670, ELU_13326, ELU_8895, ELU_34656, ELU_4920, ELU_39621, ELU_770, ELU_34652, ELU_10671, ELU_9954
OG0000117	HTU_39056	ELU_36434
OG0000117	HTU_21175, HTU_21152, HTU_21148	ELU_23776, ELU_23780
OG0000119	HTU_4871, HTU_24468, HTU_23818, HTU_7504, HTU_15022, HTU_21788, HTU_29168, HTU_29162, HTU_10155, HTU_5513, HTU_187, HTU_1791, HTU_38817, HTU_21336, HTU_14896, HTU_21384, HTU_25392, HTU_15837, HTU_15801, HTU_1319, HTU_22752, HTU_35991, HTU_38239, HTU_3271, HTU_3294, HTU_38254, HTU_38942, HTU_16775, HTU_16003, HTU_4110, HTU_906, HTU_41119, HTU_30936, HTU_38360, HTU_38388, HTU_38739, HTU_38500, HTU_3040, HTU_15836, HTU_4844, HTU_22669, HTU_33771, HTU_17076, HTU_7465, HTU_16963, HTU_11780, HTU_16487, HTU_39938, HTU_2276, HTU_2292, HTU_21789	ELU_41448
OG0000121	HTU_28710	ELU_30532, ELU_17884
OG0000122	HTU_18792, HTU_34371	ELU_43608, ELU_21977
OG0000122	HTU_3894	ELU_21978
OG0000124	HTU_33742	ELU_28115
OG0000124	HTU_15530	ELU_39619
OG0000124	HTU_24023	ELU_43172, ELU_52883
OG0000125	HTU_2449	ELU_7017
OG0000126	HTU_5526, HTU_5974	ELU_35515, ELU_35513
OG0000126	HTU_38590	ELU_36804, ELU_50774
OG0000127	HTU_10951	ELU_9990, ELU_30103, ELU_51832
OG0000128	HTU_41675, HTU_41667, HTU_41691, HTU_41683, HTU_41702, HTU_41659	ELU_3515
OG0000129	HTU_31504, HTU_31503	ELU_14846
OG0000129	HTU_23305	ELU_42810, ELU_42816
OG0000129	HTU_23296	ELU_34694, ELU_42806, ELU_34690, ELU_34691, ELU_34655, ELU_34651, ELU_10672, ELU_34700, ELU_34692, ELU_34693, ELU_34664, ELU_34663, ELU_32838, ELU_42814, ELU_47532, ELU_52252, ELU_34687, ELU_34681, ELU_34674, ELU_13950, ELU_34689, ELU_34698, ELU_34653, ELU_47496, ELU_34679, ELU_34677, ELU_34684, ELU_42813, ELU_34682, ELU_42811, ELU_32836, ELU_34696
OG0000129	HTU_23302, HTU_23298, HTU_23300, HTU_23293, HTU_23303, HTU_23294	ELU_34695, ELU_34675
