Orthogroup	H_ery.longestprot
OG0000014	HER_28983,HER_41431,HER_7223,HER_26786,HER_37885,HER_34585,HER_3104,HER_19709,HER_45464,HER_41022,HER_15644,HER_3366,HER_42656,HER_43107,HER_41099,HER_29071,HER_40765,HER_43087
OG0000014	HER_19710,HER_25545,HER_4353,HER_41430,HER_34584,HER_25456,HER_41101,HER_29072,HER_3105,HER_41098,HER_28984,HER_42655,HER_26785,HER_30446,HER_7224,HER_37884,HER_34211,HER_15054,HER_30445,HER_15055,HER_43106,HER_41021,HER_8126,HER_45465,HER_32793,HER_32752,HER_45463,HER_41023,HER_3103,HER_4955,HER_26787,HER_43108,HER_29069,HER_34586,HER_3971,HER_41429,HER_19711,HER_5855,HER_46272,HER_41420,HER_3365,HER_3242,HER_37176,HER_7222,HER_23544,HER_1346,HER_1343,HER_37886,HER_40763,HER_4354,HER_3399,HER_3368,HER_3970,HER_41419,HER_41097,HER_28985,HER_43085,HER_31260,HER_25455,HER_31261,HER_28982,HER_34210,HER_32754,HER_32797,HER_32791,HER_5853,HER_32751,HER_32794,HER_3106,HER_34583,HER_19708,HER_43109,HER_37177,HER_11357,HER_29073,HER_34209,HER_46271,HER_25457,HER_25544,HER_25547,HER_4958,HER_4352,HER_34212,HER_30447,HER_3397,HER_40766,HER_42654,HER_31262,HER_37175,HER_28981,HER_15053,HER_42471,HER_31210,HER_15645,HER_19712,HER_26784,HER_37883,HER_32755,HER_31259,HER_42658,HER_41020,HER_3107,HER_45466,HER_25454,HER_41102,HER_43105,HER_32792,HER_32798,HER_32753,HER_3243,HER_42470,HER_5854,HER_43086
OG0000015	HER_486,HER_488,HER_482,HER_472,HER_485,HER_466
OG0000015	HER_542
OG0000015	HER_8891
OG0000015	HER_31319,HER_31313
OG0000016	HER_26044
OG0000016	HER_34168
OG0000016	HER_34130
OG0000016	HER_4836
OG0000016	HER_27191,HER_27200
OG0000016	HER_34129
OG0000016	HER_26500
OG0000016	HER_13925
OG0000016	HER_10720,HER_10673,HER_10698
OG0000016	HER_32963
OG0000017	HER_41693,HER_33947,HER_44032
OG0000017	HER_42372,HER_34667
OG0000019	HER_16509
OG0000019	HER_17735
OG0000019	HER_22271
OG0000019	HER_45405
OG0000021	HER_44105
OG0000021	HER_42913,HER_44185,HER_44191,HER_44174,HER_44190,HER_44076,HER_44057,HER_2436
OG0000021	HER_42468,HER_42482
OG0000021	HER_44180,HER_44218,HER_44176,HER_44150,HER_44187,HER_44107,HER_44106,HER_44164,HER_44086,HER_44088,HER_44082,HER_44178,HER_44158,HER_44184,HER_44183,HER_44221,HER_44182,HER_44152,HER_39994,HER_30562,HER_44050,HER_44220,HER_44065,HER_44045,HER_44069,HER_44168,HER_44081,HER_44043,HER_44041,HER_44059,HER_44053,HER_3301,HER_3320,HER_44093,HER_3299,HER_3283,HER_24321,HER_44064
OG0000021	HER_44173,HER_44052
OG0000022	HER_25678
OG0000022	HER_5506
OG0000022	HER_5840
OG0000023	HER_25367,HER_34075,HER_46518,HER_22080,HER_36149,HER_36146,HER_16088,HER_23766,HER_17477,HER_31731,HER_19600
OG0000023	HER_20694
OG0000024	HER_2926,HER_11617
OG0000024	HER_43638
OG0000024	HER_16565
OG0000024	HER_4027
OG0000024	HER_46860,HER_2938,HER_2943
OG0000024	HER_13596
OG0000024	HER_28513,HER_28158,HER_28823
OG0000026	HER_36989
OG0000027	HER_5740
OG0000027	HER_15099,HER_15117,HER_26569
OG0000027	HER_27385
OG0000027	HER_23827,HER_23810
OG0000027	HER_17755,HER_39654,HER_4670
OG0000027	HER_37601
OG0000028	HER_29085
OG0000028	HER_39653
OG0000028	HER_14727,HER_27386
OG0000028	HER_18271
OG0000028	HER_5738
OG0000029	HER_9301
OG0000029	HER_45468,HER_4025
OG0000029	HER_11941
OG0000029	HER_37888
OG0000030	HER_33139
OG0000030	HER_20117
OG0000030	HER_46834,HER_22996
OG0000031	HER_8984
OG0000031	HER_9537
OG0000032	HER_38249,HER_23987
OG0000033	HER_12141,HER_14170,HER_21497
OG0000033	HER_48524,HER_11800,HER_11787,HER_7610
OG0000033	HER_15567
OG0000034	HER_11178,HER_24885
OG0000034	HER_28655,HER_32874,HER_27534,HER_27502,HER_14411,HER_13405
OG0000035	HER_10230
OG0000035	HER_47680,HER_47678
OG0000035	HER_7848
OG0000035	HER_7850
OG0000035	HER_7853,HER_7852
OG0000035	HER_7847
OG0000035	HER_7841
OG0000035	HER_7846,HER_7845,HER_7842
OG0000036	HER_41313,HER_41319,HER_41323
OG0000036	HER_41288,HER_41271,HER_41303
OG0000036	HER_6499,HER_6520,HER_6530,HER_6545
OG0000036	HER_6539,HER_6535,HER_6536,HER_6542
OG0000036	HER_6513,HER_6505
OG0000037	HER_45434,HER_36075
OG0000037	HER_49957,HER_43537,HER_19076
OG0000037	HER_38195,HER_25337
OG0000038	HER_14024
OG0000038	HER_25654
OG0000038	HER_29013,HER_12051
OG0000040	HER_45859,HER_45860
OG0000040	HER_29160
OG0000040	HER_29147
OG0000040	HER_29162
OG0000040	HER_27709
OG0000040	HER_29159
OG0000040	HER_11292
OG0000040	HER_45861
OG0000043	HER_15118
OG0000043	HER_29084
OG0000043	HER_24122
OG0000043	HER_5735
OG0000044	HER_42203
OG0000044	HER_42261
OG0000046	HER_770,HER_759,HER_777,HER_764,HER_772,HER_773,HER_776,HER_763,HER_765
OG0000046	HER_774,HER_761
OG0000046	HER_762,HER_775
OG0000048	HER_5737,HER_1406,HER_1391
OG0000049	HER_29518
OG0000049	HER_30469
OG0000049	HER_17673
OG0000049	HER_42914,HER_6792
OG0000049	HER_8151,HER_8152
OG0000050	HER_19720,HER_41260
OG0000050	HER_16860
OG0000051	HER_216
OG0000051	HER_22598,HER_10082,HER_16060,HER_29026,HER_41191,HER_41885,HER_13447,HER_11820,HER_5415,HER_36846,HER_1430,HER_1438
OG0000052	HER_30197,HER_5900
OG0000053	HER_46509,HER_43799,HER_36912,HER_37364,HER_2044,HER_43868,HER_47107,HER_8949,HER_2595,HER_20870,HER_25060,HER_21857,HER_12256,HER_42725
OG0000054	HER_24908,HER_29324,HER_45298,HER_30094
OG0000054	HER_29154,HER_44002,HER_24925,HER_25018,HER_33679,HER_34152,HER_33689,HER_24782,HER_25028,HER_24905,HER_24791,HER_18832
OG0000055	HER_8392
OG0000055	HER_23974,HER_36133
OG0000055	HER_15131,HER_17309
OG0000055	HER_7818
OG0000055	HER_37819,HER_48475,HER_46277
OG0000055	HER_2006
OG0000056	HER_20815
OG0000056	HER_11907,HER_4134
OG0000056	HER_6222,HER_5592,HER_25723
OG0000056	HER_7959,HER_5686,HER_5500,HER_5504
OG0000056	HER_11456
OG0000057	HER_36810
OG0000057	HER_39847,HER_11638
OG0000057	HER_36802,HER_36812
OG0000059	HER_43098
OG0000059	HER_17175,HER_44633,HER_44593
OG0000059	HER_491,HER_29639,HER_21740
OG0000060	HER_1789,HER_31821,HER_44287,HER_5997,HER_8049
OG0000060	HER_39593,HER_27194,HER_4047,HER_32704,HER_40468,HER_8050,HER_12955,HER_44286,HER_45090
OG0000060	HER_5297
OG0000061	HER_25361
OG0000061	HER_15362,HER_15355,HER_15352
OG0000061	HER_43123
OG0000061	HER_43139
OG0000061	HER_43272
OG0000062	HER_48658
OG0000062	HER_5683,HER_5691,HER_6232,HER_5988
OG0000062	HER_5690
OG0000062	HER_6200,HER_6219,HER_5942
OG0000063	HER_22002
OG0000064	HER_18816
OG0000064	HER_6827
OG0000064	HER_1574
OG0000064	HER_13061,HER_13060,HER_13062,HER_13059,HER_13063,HER_13058
OG0000064	HER_41536
OG0000064	HER_41527
OG0000065	HER_18650,HER_48882
OG0000066	HER_13265,HER_13254,HER_13287,HER_13251,HER_13252,HER_13259,HER_13068
OG0000066	HER_3983
OG0000066	HER_43721,HER_43719,HER_43669,HER_43710,HER_43674,HER_43724,HER_43717,HER_43723,HER_43715,HER_43671,HER_43673,HER_43720,HER_43722,HER_43727
OG0000067	HER_17117,HER_17128,HER_36351
OG0000067	HER_33592,HER_33590
OG0000067	HER_47766,HER_47784
OG0000071	HER_32132,HER_11738
OG0000071	HER_11739,HER_32599
OG0000071	HER_44311
OG0000071	HER_20436
OG0000072	HER_27531,HER_34982,HER_42628,HER_11992,HER_46006,HER_32158,HER_14028,HER_43387,HER_26885
OG0000074	HER_4655,HER_4654
OG0000074	HER_15254
OG0000074	HER_30634
OG0000074	HER_8653
OG0000074	HER_47867,HER_47868
OG0000075	HER_31615
OG0000076	HER_36237,HER_36265,HER_36217,HER_36258,HER_36250
OG0000076	HER_36261
OG0000076	HER_35503
OG0000076	HER_34540,HER_34513,HER_34611,HER_34522,HER_43560,HER_34543,HER_34531,HER_34680,HER_34633
OG0000077	HER_33863
OG0000077	HER_47047,HER_47019
OG0000077	HER_33874,HER_33852,HER_33853,HER_33854,HER_33880
OG0000077	HER_47103
OG0000077	HER_47101
OG0000077	HER_33872,HER_40847,HER_33617,HER_33606,HER_33616,HER_33621,HER_33612,HER_33608
OG0000078	HER_8421
OG0000079	HER_26149,HER_26170,HER_26422,HER_34871,HER_34811,HER_34875
OG0000080	HER_43664
OG0000080	HER_1444
OG0000080	HER_1230,HER_1227
OG0000080	HER_1441,HER_1437,HER_1433,HER_1429
OG0000081	HER_43538
OG0000081	HER_18197,HER_18198
OG0000082	HER_2900,HER_40778
OG0000084	HER_18020,HER_34953
OG0000085	HER_41217
OG0000085	HER_44888,HER_44950
OG0000086	HER_49410,HER_10884,HER_45020,HER_44894,HER_44895,HER_45005,HER_15377,HER_45168,HER_816,HER_789,HER_1081,HER_1070
OG0000087	HER_20783
OG0000087	HER_20760
OG0000087	HER_20762,HER_20764
OG0000088	HER_11229
OG0000088	HER_45902,HER_9354,HER_9352
OG0000088	HER_5802
OG0000088	HER_5798
OG0000088	HER_5797,HER_36598
OG0000088	HER_5795,HER_5791,HER_5601
OG0000089	HER_44705
OG0000090	HER_17635,HER_49802,HER_1006,HER_1024
OG0000090	HER_46569,HER_48401,HER_30795
OG0000090	HER_49125,HER_14308
OG0000090	HER_42063,HER_29924
OG0000090	HER_29923
OG0000091	HER_381
OG0000091	HER_406,HER_401
OG0000091	HER_376,HER_378
OG0000091	HER_373
OG0000091	HER_375
OG0000092	HER_12548,HER_6216,HER_6203
OG0000092	HER_13478
OG0000093	HER_43193
OG0000093	HER_43187,HER_43182,HER_43243,HER_46876
OG0000094	HER_41860,HER_40922,HER_50039,HER_41841
OG0000094	HER_40864
OG0000094	HER_40882,HER_40893
OG0000095	HER_27529,HER_27530,HER_27486,HER_27510,HER_27544,HER_27550,HER_27545
OG0000095	HER_27498,HER_27493,HER_27487,HER_27501,HER_27490,HER_27453,HER_27462,HER_27478,HER_27480,HER_15064,HER_15066,HER_27567,HER_15065,HER_27560,HER_27554,HER_27549
OG0000096	HER_36561,HER_36562
OG0000096	HER_36306,HER_36297
OG0000097	HER_7788
OG0000097	HER_14193,HER_14223,HER_14215,HER_14192,HER_14239,HER_14155,HER_14205,HER_13783,HER_14176
OG0000098	HER_1797
OG0000099	HER_23089
OG0000099	HER_29884,HER_24021
OG0000100	HER_4371
OG0000100	HER_4369,HER_4368,HER_4362
OG0000100	HER_4361
OG0000102	HER_42727,HER_42715,HER_42720,HER_42743
OG0000103	HER_32163,HER_43848
OG0000103	HER_32343,HER_44849,HER_39868,HER_34374,HER_34383,HER_43847,HER_13824,HER_42033,HER_15912
OG0000104	HER_27434,HER_27424
OG0000104	HER_13385,HER_13380
OG0000104	HER_25167
OG0000105	HER_35723
OG0000105	HER_12173,HER_40455,HER_26082
OG0000105	HER_30001,HER_35008,HER_32122,HER_32043,HER_34535,HER_49799
OG0000106	HER_12238
OG0000107	HER_42377
OG0000107	HER_6087,HER_21291
OG0000107	HER_42423,HER_41010,HER_14660,HER_24088,HER_24098,HER_m39473,HER_15836,HER_15833
OG0000108	HER_28262,HER_28264,HER_28260
OG0000108	HER_27353
OG0000108	HER_8128
OG0000108	HER_41611
OG0000108	HER_23924,HER_23906,HER_23911
OG0000109	HER_16812
OG0000109	HER_19463,HER_39311
OG0000110	HER_24756,HER_4914,HER_38542,HER_5033,HER_8063,HER_19024,HER_19010,HER_752,HER_43832,HER_5006,HER_32232
OG0000110	HER_6500,HER_6509
OG0000110	HER_6501
OG0000110	HER_27082,HER_754,HER_6510,HER_35821
OG0000113	HER_41036,HER_41030,HER_41078
OG0000113	HER_41027,HER_41037,HER_41033
OG0000114	HER_8341,HER_38179,HER_13159,HER_41019,HER_46720,HER_13158,HER_49538,HER_2067,HER_4581,HER_45438,HER_33129,HER_48177,HER_4502
OG0000115	HER_38516
OG0000116	HER_13084
OG0000116	HER_30270,HER_4,HER_37223,HER_4400,HER_12750,HER_29092,HER_42430,HER_12778,HER_21784,HER_18022,HER_34288,HER_497,HER_21772,HER_9677,HER_13306,HER_39689,HER_9176,HER_49914
OG0000116	HER_27500
OG0000116	HER_24816
OG0000116	HER_3958
OG0000117	HER_43798,HER_43846,HER_43788,HER_43793,HER_43805,HER_7984,HER_43862,HER_43834
OG0000117	HER_43866
OG0000117	HER_43861
OG0000117	HER_16058,HER_16048
OG0000118	HER_16408,HER_25583,HER_28863
OG0000120	HER_34225
OG0000120	HER_47151,HER_39362
OG0000120	HER_47105
OG0000120	HER_36914,HER_47153
OG0000120	HER_4332
OG0000120	HER_18672
OG0000121	HER_16150
OG0000121	HER_37486,HER_15232
OG0000122	HER_13484,HER_14794,HER_19336
OG0000122	HER_35341
OG0000124	HER_11921
OG0000124	HER_22367,HER_11922
OG0000124	HER_37804
OG0000124	HER_20881
OG0000124	HER_47807
OG0000124	HER_15866,HER_49469,HER_49495,HER_13136,HER_43183,HER_28566
OG0000124	HER_29679
OG0000125	HER_11108
OG0000125	HER_46557,HER_15559,HER_20631,HER_47021
OG0000125	HER_37937,HER_35731
OG0000126	HER_32279,HER_32205,HER_5452,HER_5466
OG0000126	HER_5429
OG0000126	HER_4843
OG0000127	HER_40017,HER_10058,HER_41627,HER_14282,HER_18999,HER_26521,HER_47037,HER_23518,HER_36782,HER_48736,HER_28122,HER_12741,HER_4923,HER_1224,HER_49343,HER_22905,HER_28722,HER_11711,HER_18976,HER_32437,HER_19555,HER_11801,HER_42844,HER_19241,HER_29795,HER_30137,HER_41056,HER_28565,HER_392,HER_45390,HER_12620,HER_16785,HER_29379,HER_13509,HER_3731,HER_8229,HER_25299,HER_34027,HER_49269,HER_13918,HER_34114,HER_45642,HER_28663,HER_18500,HER_45793,HER_21896,HER_20912,HER_m44637
OG0000128	HER_47933,HER_47937,HER_47925,HER_47929,HER_47921,HER_47917,HER_47913
OG0000129	HER_49459
OG0000129	HER_23944
OG0000129	HER_23943
OG0000130	HER_49720
OG0000130	HER_8082,HER_8080,HER_8096,HER_36898,HER_8077,HER_8086,HER_8075,HER_8083,HER_8076,HER_8074,HER_8098,HER_8079,HER_8087
OG0000131	HER_30847
OG0000131	HER_21963
OG0000132	HER_22336,HER_1528
OG0000132	HER_22060,HER_31563,HER_22093,HER_5764,HER_22290
OG0000132	HER_10536
OG0000132	HER_3423
OG0000133	HER_49597
OG0000133	HER_8583,HER_14286
OG0000133	HER_10044
OG0000134	HER_5894,HER_5670
OG0000134	HER_5684
OG0000134	HER_32474,HER_32493,HER_32484,HER_32479,HER_32481
OG0000134	HER_32483,HER_32480
OG0000134	HER_32478,HER_29226,HER_37106
OG0000134	HER_7780
OG0000135	HER_1173
OG0000135	HER_34018,HER_20300,HER_48769,HER_42773
OG0000136	HER_5892,HER_18493,HER_13612,HER_27122,HER_23268,HER_15528,HER_31704,HER_1118,HER_6393,HER_31681,HER_31104,HER_6516,HER_10674
OG0000136	HER_47178
OG0000136	HER_40858,HER_10649
OG0000136	HER_5651
OG0000137	HER_16445
OG0000137	HER_16443
OG0000137	HER_16775
OG0000137	HER_16776
OG0000138	HER_29927
OG0000139	HER_3650
OG0000139	HER_3657
OG0000139	HER_3655,HER_3656,HER_3652
OG0000140	HER_20978,HER_20974,HER_20983,HER_20982,HER_20981,HER_20975,HER_20979,HER_20972,HER_20973,HER_47375
OG0000143	HER_15686
OG0000144	HER_46886
OG0000144	HER_12626
OG0000144	HER_26623,HER_26618,HER_26613,HER_26624,HER_26616
OG0000144	HER_12621
OG0000145	HER_26881
OG0000145	HER_24125
OG0000145	HER_26538
OG0000146	HER_13609
OG0000147	HER_5477,HER_44196,HER_33531
OG0000148	HER_2882,HER_2913
OG0000148	HER_39042
OG0000148	HER_21681
OG0000148	HER_39049
OG0000149	HER_42252
OG0000149	HER_42185,HER_42211,HER_42178,HER_42196,HER_42215
OG0000150	HER_7374
OG0000150	HER_7357
OG0000150	HER_7385,HER_7383
OG0000150	HER_7384
OG0000150	HER_7386
OG0000151	HER_39973
OG0000151	HER_24439,HER_24459,HER_33758
OG0000152	HER_33133,HER_33130,HER_33128,HER_5481
OG0000152	HER_1359
OG0000152	HER_32891
OG0000154	HER_23404
OG0000154	HER_23399
OG0000154	HER_46839
OG0000154	HER_23400
OG0000154	HER_23402,HER_23401
OG0000154	HER_23403
OG0000156	HER_27174,HER_41005
OG0000156	HER_10828,HER_20198
OG0000159	HER_5788,HER_7541,HER_44490,HER_48144,HER_29547,HER_48969
OG0000160	HER_30246,HER_5540,HER_48213,HER_33252
OG0000160	HER_11864,HER_34021,HER_42596,HER_11821,HER_11751,HER_41645,HER_42617,HER_31971
OG0000160	HER_43790
OG0000161	HER_23498,HER_25404
OG0000162	HER_3852,HER_3867,HER_3688,HER_3829,HER_3836,HER_3824,HER_3827,HER_3866,HER_3851,HER_3844,HER_3842
OG0000163	HER_4565,HER_4488,HER_4569,HER_4557
OG0000163	HER_4476
OG0000163	HER_4401,HER_4426
OG0000164	HER_30169,HER_30172,HER_30170,HER_46609
OG0000164	HER_30171
OG0000165	HER_2052,HER_2060,HER_2071,HER_2064
OG0000165	HER_16285,HER_16282,HER_16286,HER_16288
OG0000166	HER_26300
OG0000166	HER_26298,HER_26290,HER_26286,HER_26287,HER_26292
OG0000166	HER_26285,HER_26293,HER_26296,HER_26297,HER_26295,HER_26294
OG0000168	HER_42987
OG0000168	HER_43499,HER_43556,HER_43431
OG0000169	HER_13748,HER_13747,HER_41157
OG0000169	HER_35606
OG0000170	HER_20135
OG0000171	HER_27065
OG0000171	HER_23352
OG0000171	HER_27064
OG0000171	HER_27063
OG0000172	HER_33318
OG0000172	HER_13109,HER_14997,HER_2932,HER_25560
OG0000172	HER_28975
OG0000172	HER_31184,HER_31188,HER_31136
OG0000174	HER_31597,HER_6621,HER_33686
OG0000174	HER_12880
OG0000174	HER_40767
OG0000174	HER_11730,HER_23598,HER_6403,HER_14331,HER_33126
OG0000175	HER_31906
OG0000176	HER_19126
OG0000176	HER_18059
OG0000176	HER_19127
OG0000176	HER_17538
OG0000176	HER_17537,HER_13793
OG0000177	HER_14719
OG0000178	HER_46595
OG0000178	HER_46597,HER_46581,HER_48171,HER_48203
OG0000179	HER_44450
OG0000179	HER_44452,HER_44451
OG0000179	HER_44439,HER_44675,HER_44681,HER_44443
OG0000180	HER_42993,HER_49140,HER_3511,HER_2129,HER_45435,HER_m19811,HER_7038,HER_48472,HER_19086,HER_36778,HER_17450,HER_40409,HER_1216,HER_18005,HER_47825,HER_39244,HER_25922,HER_881,HER_43502,HER_883,HER_9283,HER_16466,HER_22325
OG0000182	HER_37329,HER_37288,HER_37286,HER_37292,HER_37325
OG0000182	HER_37321
OG0000182	HER_37327,HER_37290
OG0000184	HER_46640
OG0000185	HER_1608
OG0000185	HER_1624
OG0000185	HER_1611
OG0000185	HER_1625
OG0000185	HER_49912
OG0000186	HER_2929
OG0000187	HER_12092
OG0000187	HER_31390,HER_44586,HER_12093
OG0000187	HER_22355
OG0000188	HER_30059,HER_30060
OG0000188	HER_30547,HER_30543
OG0000188	HER_29963,HER_30544,HER_30549
OG0000189	HER_45320
OG0000189	HER_9107
OG0000191	HER_34007,HER_33975,HER_34014,HER_33950,HER_33965,HER_33977,HER_34033,HER_34044
OG0000191	HER_14144,HER_7787
OG0000192	HER_20037
OG0000192	HER_31432,HER_4983,HER_18219,HER_20563,HER_20595
OG0000192	HER_20038
OG0000192	HER_16723
OG0000194	HER_25373,HER_48260,HER_10501,HER_24527,HER_32683,HER_10483
OG0000195	HER_2722
OG0000196	HER_44974
OG0000196	HER_44975
OG0000196	HER_44976
OG0000196	HER_44990
OG0000196	HER_44989
OG0000197	HER_23711,HER_23707,HER_23706,HER_23710
OG0000197	HER_24966,HER_24952
OG0000197	HER_23712
OG0000198	HER_20515
OG0000198	HER_20527,HER_20540
OG0000199	HER_36462,HER_36537
OG0000199	HER_36433,HER_36414,HER_36419,HER_36410,HER_36431
OG0000201	HER_32148,HER_35120,HER_12261,HER_30312,HER_20439,HER_5185,HER_12262,HER_36448,HER_32548,HER_31815,HER_15082,HER_9847
OG0000202	HER_16084
OG0000202	HER_39632
OG0000202	HER_16085
OG0000203	HER_34175
OG0000203	HER_12769,HER_12789
OG0000204	HER_6877
OG0000205	HER_1165
OG0000205	HER_28243
OG0000205	HER_28239
OG0000205	HER_28226,HER_28238
OG0000206	HER_43702,HER_3229,HER_3184
OG0000206	HER_3268,HER_3291,HER_3292,HER_3270
OG0000208	HER_8004
OG0000208	HER_3272,HER_32914,HER_34260,HER_39089,HER_13838,HER_48437,HER_44253,HER_32094,HER_10654,HER_44393
OG0000209	HER_14394,HER_31430
OG0000210	HER_16192,HER_16190
OG0000210	HER_27428,HER_8462,HER_40218,HER_46401,HER_44166,HER_34899,HER_42684,HER_41196,HER_36948,HER_8463,HER_24545,HER_45402,HER_47231,HER_25432,HER_11398,HER_5648,HER_34001
OG0000211	HER_26757,HER_742,HER_28383,HER_42848,HER_20382,HER_33857,HER_4969,HER_48504,HER_39251,HER_35097,HER_20896,HER_5547,HER_14187,HER_35597,HER_42742,HER_49230,HER_22501,HER_22485,HER_22456,HER_44031,HER_26324
OG0000212	HER_40984
OG0000212	HER_15280
OG0000213	HER_49424,HER_45181,HER_22982,HER_45189,HER_45187,HER_45199,HER_45267,HER_45275,HER_45269,HER_45273,HER_45271,HER_45265,HER_45260,HER_45262,HER_45277,HER_45258,HER_45285,HER_45287
OG0000214	HER_6292,HER_24822
OG0000214	HER_25939,HER_25902,HER_25916
OG0000214	HER_25940
OG0000215	HER_10971
OG0000216	HER_33073,HER_33044,HER_33045,HER_33043,HER_33046,HER_33059,HER_8374,HER_23395,HER_8058,HER_1553,HER_1554,HER_1558,HER_1559
OG0000216	HER_18911
OG0000217	HER_36484,HER_17663,HER_m26570
OG0000217	HER_4974
OG0000218	HER_23908,HER_23916,HER_46760
OG0000218	HER_46842,HER_46755,HER_46750,HER_46748,HER_25055,HER_46763,HER_46759,HER_46756
OG0000218	HER_48052
OG0000220	HER_8352
OG0000220	HER_39211,HER_44256
OG0000220	HER_39210
OG0000220	HER_36932,HER_47463,HER_45685
OG0000221	HER_1599,HER_1598
OG0000221	HER_1604,HER_1596
OG0000222	HER_23081
OG0000222	HER_23058
OG0000224	HER_24148,HER_24140,HER_24158
OG0000224	HER_24162
OG0000224	HER_24161
OG0000225	HER_39050
OG0000225	HER_39037
OG0000225	HER_2903
OG0000225	HER_2911
OG0000226	HER_7328
OG0000226	HER_7317
OG0000226	HER_7329
OG0000226	HER_7337
OG0000226	HER_7336
OG0000227	HER_49897
OG0000227	HER_35785
OG0000228	HER_43137,HER_43126
