Orthogroup	L_var.longestprot	H_ery.longestprot
OG0000017	LVA_14141, LVA_33212, LVA_32125	HER_41693, HER_33947, HER_44032
OG0000018	LVA_7606, LVA_7653, LVA_8052, LVA_8053, LVA_8054, LVA_36470, LVA_7594, LVA_7944, LVA_7604, LVA_7633, LVA_7605, LVA_7785, LVA_7930, LVA_16430, LVA_16427, LVA_16431, LVA_16432, LVA_16428, LVA_16429, LVA_7931, LVA_7618, LVA_7943, LVA_7632, LVA_7949, LVA_7654, LVA_7956, LVA_7784, LVA_7595, LVA_7644, LVA_7620, LVA_7635, LVA_7817, LVA_7946	HER_31614, HER_31628, HER_31662, HER_31593, HER_31595, HER_31643, HER_31644, HER_31591, HER_31599, HER_31632, HER_31619, HER_31616, HER_31641, HER_31596, HER_31620, HER_31598
OG0000019	LVA_17804	HER_16509
OG0000019	LVA_20134, LVA_20116	HER_24121
OG0000019	LVA_6969	HER_5739
OG0000019	LVA_20096	HER_22271
OG0000019	LVA_11997	HER_48461
OG0000019	LVA_17633, LVA_20144	HER_15101
OG0000019	LVA_23398, LVA_23510	HER_45405
OG0000020	LVA_9638, LVA_9739, LVA_9744, LVA_9497	HER_34116
OG0000021	LVA_15330, LVA_15457	HER_44153, HER_33003, HER_42468, HER_42482
OG0000022	LVA_36786, LVA_36778, LVA_36784, LVA_36783	HER_5826, HER_5490, HER_37031
OG0000024	LVA_14715	HER_2926, HER_11617, HER_43638
OG0000024	LVA_21170	HER_4027
OG0000026	LVA_33277, LVA_33138	HER_36989
OG0000027	LVA_20117, LVA_20097, LVA_20092, LVA_20107, LVA_20102, LVA_20112, LVA_20153, LVA_20128, LVA_20148, LVA_20138, LVA_20133, LVA_20158, LVA_20143, LVA_20123	HER_5740
OG0000027	LVA_18853	HER_15099, HER_15117, HER_26569, HER_27385
OG0000027	LVA_17631, LVA_17302, LVA_4698	HER_14726
OG0000027	LVA_7387	HER_23827, HER_23810
OG0000027	LVA_30454	HER_17755, HER_39654, HER_4670
OG0000027	LVA_30464	HER_37601
OG0000028	LVA_29313	HER_29085
OG0000028	LVA_30453	HER_39653
OG0000028	LVA_17301	HER_14727, HER_27386
OG0000028	LVA_7388	HER_17756
OG0000028	LVA_20095, LVA_20125, LVA_20090, LVA_20135, LVA_20145, LVA_20130, LVA_20140, LVA_20150, LVA_20115, LVA_20155, LVA_20110, LVA_20100, LVA_20105	HER_5738
OG0000029	LVA_17999	HER_9301
OG0000029	LVA_34295, LVA_24953	HER_45468, HER_4025
OG0000029	LVA_907	HER_11941
OG0000029	LVA_17615	HER_30803, HER_37888, HER_24826, HER_32943, HER_40489
OG0000030	LVA_9031	HER_33139
OG0000030	LVA_14260, LVA_14040	HER_39370, HER_49603
OG0000030	LVA_26667	HER_47247, HER_37856
OG0000030	LVA_1744, LVA_15580	HER_20117
OG0000031	LVA_3703	HER_8984
OG0000031	LVA_9879	HER_34276, HER_9032
OG0000031	LVA_13515	HER_7973, HER_7930, HER_33927, HER_11725, HER_11717
OG0000031	LVA_32761, LVA_2106, LVA_33830, LVA_7430, LVA_24053	HER_9537
OG0000032	LVA_9762	HER_33440
OG0000033	LVA_9590, LVA_9549, LVA_9569, LVA_7740, LVA_14474, LVA_2291, LVA_1256, LVA_34059, LVA_11552, LVA_11777, LVA_14984, LVA_19554	HER_12141, HER_14170, HER_21497
OG0000033	LVA_33155	HER_15928, HER_48524, HER_11800, HER_11787, HER_7610, HER_15567, HER_10659, HER_28236, HER_23427
OG0000034	LVA_7923, LVA_13982	HER_11178, HER_24885
OG0000034	LVA_13729, LVA_18038	HER_28655, HER_32874
OG0000034	LVA_8098, LVA_20465, LVA_13981	HER_13405
OG0000035	LVA_19914	HER_10230
OG0000035	LVA_2220	HER_47680, HER_47678
OG0000035	LVA_22888, LVA_22886, LVA_22887, LVA_22889	HER_7848
OG0000036	LVA_14578	HER_41266, HER_41322, HER_41296, HER_41289, HER_41302
OG0000036	LVA_35748, LVA_35741, LVA_35744	HER_6519, HER_6528, HER_6499, HER_6520, HER_6530, HER_6545, HER_6539, HER_6535, HER_6536, HER_6542
OG0000037	LVA_28440	HER_45434, HER_36075
OG0000038	LVA_9382	HER_44015, HER_29165
OG0000038	LVA_29305, LVA_9383, LVA_8826, LVA_8825, LVA_8967, LVA_17441	HER_14024
OG0000039	LVA_21037, LVA_17017, LVA_27612, LVA_18318, LVA_8286, LVA_2043, LVA_35618, LVA_2653, LVA_9485, LVA_13010, LVA_35287, LVA_19473, LVA_5733, LVA_26193, LVA_18319, LVA_1910, LVA_8285, LVA_30577, LVA_8282, LVA_31087, LVA_29378, LVA_10286, LVA_36594, LVA_32115, LVA_31483, LVA_21388, LVA_19167, LVA_26922, LVA_18030, LVA_1713, LVA_27071, LVA_6207, LVA_32221, LVA_29025, LVA_9899, LVA_35935, LVA_499, LVA_29683, LVA_27013, LVA_23091, LVA_25132, LVA_17349, LVA_18146, LVA_13633, LVA_29377, LVA_33273, LVA_34596, LVA_14618, LVA_10331, LVA_22083, LVA_9632, LVA_33269, LVA_5746, LVA_28233, LVA_31667, LVA_6447, LVA_6458, LVA_11769, LVA_23769, LVA_29556, LVA_23851, LVA_31664, LVA_32117, LVA_33076, LVA_7995, LVA_374, LVA_6393, LVA_32291, LVA_30667, LVA_30309, LVA_30566, LVA_7776, LVA_23873, LVA_27381, LVA_29560, LVA_21866, LVA_18238, LVA_22014, LVA_5748, LVA_17900, LVA_16920, LVA_13005, LVA_18757, LVA_17963, LVA_22362, LVA_20072, LVA_34962, LVA_8600, LVA_7743	HER_24867
OG0000040	LVA_24085	HER_45859
OG0000040	LVA_29329	HER_29163
OG0000040	LVA_29332	HER_29147
OG0000040	LVA_10034, LVA_10123	HER_49968
OG0000040	LVA_29330	HER_29162
OG0000040	LVA_21452	HER_11292
OG0000040	LVA_24384, LVA_24083, LVA_24385	HER_45861
OG0000043	LVA_20127, LVA_20132, LVA_17632	HER_15118
OG0000043	LVA_20093	HER_29084
OG0000043	LVA_20113	HER_46174
OG0000043	LVA_11998	HER_5741
OG0000044	LVA_14842, LVA_14872, LVA_14792, LVA_14863, LVA_14860, LVA_14862, LVA_15468	HER_42189, HER_20811, HER_42230, HER_42218, HER_42199, HER_42203, HER_42261
OG0000046	LVA_25832, LVA_25855, LVA_25857, LVA_25854, LVA_25856, LVA_25834, LVA_25833, LVA_25831, LVA_25858, LVA_25853	HER_762, HER_775
OG0000048	LVA_20089, LVA_20094, LVA_20104, LVA_20146, LVA_20126, LVA_20151, LVA_20141, LVA_20131, LVA_20136, LVA_24710, LVA_20109, LVA_20114, LVA_20099	HER_5737, HER_1406, HER_1391
OG0000048	LVA_14514	HER_37492
OG0000049	LVA_34844, LVA_14528	HER_28363
OG0000049	LVA_34843	HER_42914
OG0000050	LVA_14905, LVA_37038	HER_16860
OG0000051	LVA_8489, LVA_8181, LVA_33686, LVA_32549, LVA_10019, LVA_34906, LVA_34910	HER_41191, HER_41885
OG0000051	LVA_34120, LVA_8991, LVA_20996	HER_13447, HER_11820
OG0000052	LVA_15268	HER_30197, HER_5900
OG0000052	LVA_30605	HER_23938, HER_23942, HER_23940
OG0000052	LVA_25414	HER_26811
OG0000053	LVA_1000, LVA_6548, LVA_24555, LVA_36871, LVA_19227, LVA_19220, LVA_1789, LVA_1780, LVA_20707, LVA_1779, LVA_1788, LVA_19226, LVA_19219, LVA_9116, LVA_4453, LVA_20837, LVA_37054	HER_46509, HER_43799, HER_36912, HER_37364, HER_2044, HER_43868, HER_47107, HER_8949, HER_2595, HER_20870, HER_25060, HER_21857, HER_12256, HER_42725
OG0000053	LVA_27854, LVA_5962, LVA_16610, LVA_20232	HER_43327
OG0000053	LVA_27853, LVA_8407	HER_34327, HER_34338, HER_27841
OG0000054	LVA_15540, LVA_15623	HER_24908, HER_29324, HER_45298, HER_30094, HER_29154, HER_44002, HER_24925, HER_25018, HER_33679, HER_34152, HER_33689, HER_24782, HER_25028, HER_24905, HER_24791, HER_18832
OG0000055	LVA_22015	HER_48700
OG0000055	LVA_31844	HER_48702, HER_1726
OG0000055	LVA_31845	HER_23459
OG0000055	LVA_29706, LVA_22824, LVA_3842, LVA_28679, LVA_11722, LVA_16633, LVA_8009, LVA_164, LVA_4158	HER_37819, HER_48475, HER_46277
OG0000056	LVA_31156	HER_11907, HER_4134
OG0000056	LVA_6199, LVA_31155, LVA_9115	HER_6222, HER_5592, HER_25723
OG0000056	LVA_3069, LVA_14477	HER_7959, HER_5686, HER_5500, HER_5504
OG0000056	LVA_27939	HER_11456
OG0000057	LVA_35268, LVA_35269	HER_36810
OG0000057	LVA_33228, LVA_33108, LVA_21150, LVA_21304	HER_36802, HER_36812
OG0000059	LVA_19706, LVA_24775	HER_43098
OG0000059	LVA_32695	HER_28490, HER_21354, HER_24273, HER_7976, HER_23522, HER_47840, HER_3278, HER_49975, HER_42266, HER_35039, HER_35753, HER_30567, HER_9119
OG0000059	LVA_13640	HER_491, HER_29639, HER_21740
OG0000060	LVA_5577, LVA_23860	HER_32118, HER_44339
OG0000060	LVA_15754	HER_8048, HER_32705, HER_1789, HER_31821, HER_44287, HER_5997, HER_8049, HER_9925, HER_39593, HER_27194, HER_4047, HER_32704, HER_40468, HER_8050, HER_12955, HER_44286, HER_45090, HER_22420, HER_7139, HER_12021, HER_5297, HER_41425, HER_22419, HER_33300, HER_39592
OG0000061	LVA_18423	HER_15335, HER_15338, HER_25361, HER_15330, HER_15362, HER_15355, HER_15352
OG0000061	LVA_13941	HER_43139
OG0000061	LVA_14817	HER_43272
OG0000062	LVA_36633, LVA_36637	HER_5683, HER_5691, HER_6232, HER_5988
OG0000062	LVA_36621	HER_6200, HER_6219, HER_5942
OG0000063	LVA_35335, LVA_35117, LVA_35118, LVA_35334, LVA_34119, LVA_33996, LVA_33925, LVA_34191, LVA_35505, LVA_35503, LVA_35377, LVA_34201, LVA_34194, LVA_35504, LVA_33420, LVA_33534, LVA_25827, LVA_17128, LVA_11780, LVA_1885, LVA_1880, LVA_24720, LVA_24721	HER_22002
OG0000064	LVA_3873, LVA_3872	HER_18816
OG0000066	LVA_9201, LVA_9320, LVA_5881, LVA_5884, LVA_5888, LVA_5885, LVA_5880	HER_13256, HER_13265, HER_13254, HER_13287, HER_13251, HER_13252, HER_13259, HER_13068
OG0000066	LVA_24045, LVA_24344, LVA_5891, LVA_5877, LVA_5876, LVA_5878, LVA_5886	HER_3983
OG0000067	LVA_25617	HER_33593, HER_17117, HER_17128, HER_36351
OG0000067	LVA_8476, LVA_8475, LVA_11241	HER_33592, HER_33590
OG0000067	LVA_13754, LVA_13806, LVA_17032, LVA_17056, LVA_10574, LVA_2069, LVA_2068, LVA_2070, LVA_29316	HER_33507
OG0000068	LVA_9075	HER_34317
OG0000069	LVA_25795	HER_35976
OG0000070	LVA_1632	HER_38850
OG0000071	LVA_7725	HER_11739, HER_32599
OG0000072	LVA_1132, LVA_7625	HER_19516
OG0000072	LVA_34541	HER_13185
OG0000074	LVA_27295	HER_4656, HER_4655, HER_4654
OG0000074	LVA_18383	HER_15254
OG0000074	LVA_22159	HER_8653
OG0000074	LVA_2100	HER_47867, HER_47868
OG0000076	LVA_34971, LVA_35035, LVA_34947	HER_26593
OG0000076	LVA_7523	HER_34540, HER_34513, HER_34611, HER_34522, HER_43560, HER_34543, HER_34531, HER_34680, HER_34633
OG0000077	LVA_7905	HER_33872
OG0000078	LVA_35050	HER_25324
OG0000079	LVA_8320, LVA_8297, LVA_8242, LVA_8307, LVA_8293, LVA_8318, LVA_9026, LVA_9168, LVA_9152, LVA_9160	HER_26149, HER_26170, HER_26422, HER_34871, HER_34811, HER_34875
OG0000080	LVA_26537, LVA_26910	HER_43664
OG0000080	LVA_26538, LVA_25921, LVA_25925, LVA_25913, LVA_25920, LVA_25923, LVA_25926, LVA_25919, LVA_25916	HER_1441, HER_1437, HER_1433, HER_1429
OG0000085	LVA_7951, LVA_8642, LVA_8594, LVA_7603, LVA_18680, LVA_2364, LVA_19369, LVA_150, LVA_18693, LVA_18643, LVA_7501, LVA_18698, LVA_23889, LVA_35083, LVA_13882, LVA_18709	HER_44888, HER_44950
OG0000086	LVA_6472, LVA_24629, LVA_24672, LVA_31632, LVA_19714, LVA_3332, LVA_3100, LVA_3134, LVA_3127, LVA_11880, LVA_11871, LVA_5345, LVA_5358	HER_49410, HER_10884, HER_45020, HER_44894, HER_44895, HER_45005, HER_15377, HER_45168, HER_816, HER_789, HER_1081, HER_1070
OG0000087	LVA_19505	HER_20783
OG0000087	LVA_14476, LVA_18942, LVA_31567	HER_24942, HER_24941, HER_24935, HER_30540, HER_30542, HER_31094, HER_31080, HER_20849, HER_20838, HER_20760, HER_20762, HER_20764
OG0000088	LVA_9501, LVA_9419	HER_45902, HER_9354, HER_9352
OG0000088	LVA_9510	HER_5802, HER_5798
OG0000090	LVA_17863	HER_49125, HER_14308
OG0000090	LVA_35816	HER_10907, HER_12962, HER_25381, HER_39120, HER_39118
OG0000090	LVA_29884, LVA_29883	HER_29923
OG0000091	LVA_26057	HER_381, HER_374
OG0000091	LVA_35897, LVA_36054	HER_6051
OG0000091	LVA_25466	HER_406
OG0000091	LVA_25559	HER_401
OG0000091	LVA_26054	HER_376, HER_378
OG0000091	LVA_8077	HER_377
OG0000091	LVA_25402	HER_373
OG0000091	LVA_26053	HER_375
OG0000092	LVA_34663, LVA_34612, LVA_21899	HER_12548, HER_6216, HER_6203
OG0000092	LVA_19784	HER_37233, HER_41997, HER_37234, HER_953, HER_11176, HER_31979
OG0000092	LVA_21477	HER_13478
OG0000093	LVA_14701	HER_43146
OG0000094	LVA_13966, LVA_13998, LVA_13985, LVA_11882, LVA_14315, LVA_13992, LVA_13974, LVA_13993, LVA_14308, LVA_13990, LVA_13965, LVA_14309, LVA_13996	HER_40864, HER_40882, HER_40893
OG0000095	LVA_19462	HER_27529, HER_27530, HER_27486, HER_27510, HER_27544, HER_27550, HER_27545, HER_27498, HER_27493, HER_27487, HER_27501, HER_27490, HER_27453, HER_27462, HER_27478, HER_27480, HER_15064, HER_15066, HER_27567, HER_15065, HER_27560, HER_27554, HER_27549
OG0000096	LVA_25698, LVA_20842, LVA_20664	HER_36561, HER_36562
OG0000097	LVA_5095, LVA_5065, LVA_5070, LVA_4976, LVA_4921, LVA_4949, LVA_4944, LVA_5089, LVA_4947	HER_7788, HER_14193, HER_14223, HER_14215, HER_14192, HER_14239, HER_14155, HER_14205, HER_13783, HER_14176
OG0000099	LVA_34277, LVA_33859, LVA_17674, LVA_10012, LVA_28550, LVA_19276, LVA_9200, LVA_27538, LVA_22263, LVA_22287, LVA_18999, LVA_5063	HER_23089
OG0000099	LVA_35100	HER_29884
OG0000099	LVA_28590	HER_24021
OG0000100	LVA_27944, LVA_27943	HER_4369, HER_4368, HER_4362, HER_4361, HER_4366
OG0000102	LVA_23888, LVA_14616, LVA_18608, LVA_7543, LVA_7513, LVA_7551, LVA_7561, LVA_7512, LVA_7505, LVA_7545, LVA_7560, LVA_7559, LVA_7515, LVA_7533, LVA_13802	HER_42727, HER_42715, HER_42720, HER_42743
OG0000104	LVA_19078, LVA_19079	HER_43517, HER_43512, HER_43511, HER_43510
OG0000104	LVA_19890	HER_13385, HER_13380, HER_25167
OG0000105	LVA_22553, LVA_3348, LVA_13383, LVA_8555, LVA_4721, LVA_546, LVA_32357, LVA_9069	HER_12173, HER_40455, HER_26082
OG0000105	LVA_2256	HER_30001, HER_35008, HER_32122, HER_32043, HER_34535, HER_49799
OG0000107	LVA_36810, LVA_36800, LVA_36805, LVA_9447	HER_42377
OG0000107	LVA_9729, LVA_9624, LVA_9748, LVA_9448, LVA_9566	HER_15836, HER_15833
OG0000108	LVA_29223, LVA_28536	HER_28262, HER_28264, HER_28260
OG0000108	LVA_7360	HER_23727
OG0000108	LVA_22215	HER_8128
OG0000108	LVA_14501	HER_41611
OG0000110	LVA_27375, LVA_8617, LVA_27374	HER_24756
OG0000110	LVA_18481	HER_38543
OG0000110	LVA_18482	HER_27082, HER_754, HER_6510, HER_35821
OG0000114	LVA_27851	HER_38179, HER_13159
OG0000115	LVA_4460, LVA_6224, LVA_1276	HER_38516
OG0000116	LVA_6581	HER_27500, HER_24816, HER_3958
OG0000117	LVA_15080, LVA_15088	HER_43798, HER_43846, HER_43788, HER_43793, HER_43805, HER_7984, HER_43862, HER_43834
OG0000117	LVA_27454	HER_43861
OG0000120	LVA_30510	HER_6485
OG0000120	LVA_13409	HER_4515, HER_42733
OG0000120	LVA_20409, LVA_13559	HER_47105, HER_36914, HER_47153, HER_4332
OG0000121	LVA_34921	HER_16150
OG0000122	LVA_11971	HER_13484, HER_14794, HER_19336
OG0000122	LVA_3753	HER_35341, HER_439
OG0000123	LVA_25092	HER_32278, HER_21097, HER_43368, HER_32761, HER_7221, HER_14771, HER_12784, HER_14242, HER_6714, HER_6707, HER_16417, HER_41552, HER_47248, HER_1163, HER_14241, HER_39477, HER_47262, HER_45776, HER_19203, HER_22424, HER_23934, HER_40953, HER_6719, HER_27010, HER_11036, HER_17863, HER_8821, HER_15940, HER_17861, HER_15942, HER_46662
OG0000124	LVA_22301	HER_37804
OG0000124	LVA_12810	HER_20881
OG0000124	LVA_28488	HER_15866, HER_49469, HER_49495, HER_13136, HER_43183, HER_28566
OG0000124	LVA_12532, LVA_7651, LVA_8049	HER_29679
OG0000125	LVA_9126	HER_13844, HER_21952, HER_16721, HER_25876, HER_31421, HER_9442, HER_43813, HER_39635, HER_41912, HER_38846, HER_35917, HER_36190
OG0000125	LVA_8041, LVA_12141, LVA_8639, LVA_8640, LVA_19115, LVA_8641	HER_37937, HER_35731
OG0000126	LVA_7621, LVA_7596	HER_14233
OG0000126	LVA_14173, LVA_14167, LVA_14161, LVA_14172, LVA_14168	HER_4843
OG0000127	LVA_9883	HER_18999, HER_26521, HER_47037
OG0000128	LVA_7447	HER_47941
OG0000128	LVA_7489, LVA_7478, LVA_2969, LVA_2959, LVA_2931, LVA_2940, LVA_2950, LVA_7467, LVA_7456	HER_47933, HER_47937, HER_47925, HER_47929, HER_47921, HER_47917, HER_47913
OG0000129	LVA_6948	HER_23944
OG0000130	LVA_8374	HER_8082, HER_8080, HER_8096
OG0000130	LVA_21895, LVA_21993	HER_36898
OG0000131	LVA_11799	HER_29986, HER_15027, HER_14296, HER_36939
OG0000132	LVA_3354, LVA_19510	HER_22336
OG0000132	LVA_18834	HER_10536
OG0000132	LVA_18392, LVA_9884	HER_3423, HER_9297, HER_34628, HER_37514
OG0000133	LVA_2209, LVA_404, LVA_10755	HER_49597
OG0000133	LVA_5445	HER_14287
OG0000133	LVA_34880, LVA_9763	HER_31410, HER_47473
OG0000133	LVA_12641	HER_18531
OG0000134	LVA_27581	HER_5684
OG0000134	LVA_36853	HER_32478, HER_29226, HER_37106
OG0000134	LVA_36863	HER_7780
OG0000135	LVA_25152	HER_1173
OG0000135	LVA_15014, LVA_20412, LVA_15641	HER_34018, HER_20300, HER_48769, HER_42773
OG0000137	LVA_17474, LVA_17472, LVA_17476, LVA_17095, LVA_17475	HER_16445
OG0000138	LVA_14158	HER_29927
OG0000139	LVA_27362	HER_3650
OG0000140	LVA_2406, LVA_2504	HER_47375
OG0000142	LVA_3185	HER_3593
OG0000143	LVA_10787	HER_5844, HER_26827, HER_26834
OG0000145	LVA_18912	HER_26460, HER_26453, HER_26462, HER_26454, HER_26554, HER_26563, HER_26560, HER_26553, HER_26552, HER_26562, HER_26561, HER_26559
OG0000147	LVA_21949, LVA_6289, LVA_17902, LVA_14060, LVA_18198, LVA_10334, LVA_36197, LVA_8516, LVA_8177, LVA_35787, LVA_34118, LVA_33997, LVA_31915, LVA_31913, LVA_24643, LVA_16103, LVA_15453, LVA_15325, LVA_33993, LVA_34123, LVA_34121, LVA_33995, LVA_19518	HER_5477, HER_44196
OG0000148	LVA_27218, LVA_27212	HER_39042, HER_21681
OG0000150	LVA_36375, LVA_30	HER_7374
OG0000150	LVA_36377	HER_7357
OG0000150	LVA_36373	HER_7385, HER_7383
OG0000150	LVA_36372, LVA_36371	HER_7384, HER_7386
OG0000151	LVA_473, LVA_588, LVA_29578	HER_39973
OG0000151	LVA_9060, LVA_7647, LVA_27905	HER_45887
OG0000152	LVA_29233, LVA_15881, LVA_19113, LVA_19495	HER_12022, HER_11896, HER_33133, HER_33130, HER_33128, HER_5481, HER_1359
OG0000152	LVA_8581, LVA_8131, LVA_8133, LVA_222, LVA_221, LVA_26904	HER_32891
OG0000154	LVA_13443, LVA_13472	HER_23404
OG0000154	LVA_13468, LVA_13439	HER_23399
OG0000154	LVA_1587	HER_46839
OG0000154	LVA_13440, LVA_13469	HER_23400
OG0000154	LVA_13441, LVA_13470	HER_23402, HER_23401
OG0000154	LVA_13471, LVA_13442	HER_23403
OG0000156	LVA_32394, LVA_6500, LVA_25359	HER_35109, HER_28751, HER_26261, HER_44769, HER_25092, HER_25160, HER_35107, HER_26979
OG0000156	LVA_2519	HER_27174, HER_41005
OG0000156	LVA_22346, LVA_24697, LVA_26689, LVA_27638	HER_182, HER_10828, HER_20198
OG0000157	LVA_7556, LVA_7555, LVA_18606, LVA_7510, LVA_7540, LVA_18607, LVA_13803	HER_42719, HER_42718, HER_42728, HER_42709, HER_42739
OG0000159	LVA_7982, LVA_11625	HER_5788, HER_7541, HER_44490, HER_48144, HER_29547, HER_48969
OG0000160	LVA_27744, LVA_13668, LVA_21896, LVA_32832, LVA_2480, LVA_32914, LVA_8884, LVA_14508, LVA_10289	HER_30246, HER_5540, HER_48213, HER_33252
OG0000161	LVA_6736, LVA_27680, LVA_35017, LVA_22363, LVA_4006, LVA_25143, LVA_2099, LVA_11863, LVA_7994, LVA_6237, LVA_2505, LVA_30697, LVA_23131	HER_23498, HER_25404
OG0000162	LVA_27692, LVA_27706, LVA_27710, LVA_27705, LVA_27691, LVA_27709	HER_3852, HER_3867, HER_3688, HER_3829, HER_3836, HER_3824, HER_3827, HER_3866, HER_3851, HER_3844, HER_3842
OG0000163	LVA_27810, LVA_27814, LVA_27822, LVA_27826, LVA_27841	HER_4476
OG0000163	LVA_27818, LVA_27811, LVA_27832	HER_4401, HER_4426
OG0000164	LVA_1207, LVA_6272, LVA_6384, LVA_1206	HER_30169, HER_30172, HER_30170, HER_46609
OG0000165	LVA_17526, LVA_17528, LVA_17522, LVA_17520	HER_16285, HER_16282, HER_16286, HER_16288
OG0000166	LVA_19410	HER_26300
OG0000166	LVA_19401, LVA_19411	HER_26298, HER_26290, HER_26286, HER_26287, HER_26292, HER_26285, HER_26293, HER_26296, HER_26297, HER_26295, HER_26294
OG0000166	LVA_19400	HER_26301, HER_26302
OG0000169	LVA_11749	HER_13748, HER_13747, HER_41157
OG0000169	LVA_396	HER_35606
OG0000170	LVA_889, LVA_1151, LVA_9926, LVA_25655, LVA_32471	HER_45001
OG0000170	LVA_32472	HER_20135
OG0000171	LVA_19272	HER_26244
OG0000171	LVA_18934	HER_27064
OG0000171	LVA_18926, LVA_18931, LVA_18927, LVA_18925	HER_27063
OG0000171	LVA_18800, LVA_18801, LVA_12574	HER_26607, HER_26590
OG0000172	LVA_9917	HER_13109, HER_14997, HER_2932, HER_25560
OG0000172	LVA_18688	HER_28975
OG0000172	LVA_1594	HER_31184, HER_31188, HER_31136
OG0000173	LVA_21936	HER_32545
OG0000174	LVA_11687, LVA_11700, LVA_33504, LVA_25686	HER_12880
OG0000174	LVA_29779	HER_40767
OG0000176	LVA_4296, LVA_4270	HER_19126
OG0000176	LVA_3183	HER_18059
OG0000176	LVA_4295, LVA_4269	HER_19127
OG0000176	LVA_3559	HER_17538
OG0000176	LVA_5314	HER_17537, HER_13793
OG0000177	LVA_14356, LVA_21925	HER_14719
OG0000177	LVA_14951	HER_5053, HER_4926
OG0000179	LVA_28412	HER_44439, HER_44675, HER_44681, HER_44443
OG0000180	LVA_35111, LVA_11696, LVA_24949, LVA_24605	HER_883
OG0000182	LVA_32570, LVA_32731	HER_22662
OG0000182	LVA_32571	HER_37327, HER_37290
